tree,first_word,last_word,first_onset,last_offset,duration
(S (SBAR (NP (PRP i)) (SBAR (ADVP (RB then)) (VP (VBD drew) (NP (NP (DT the) (NN inside)) (PP (IN of) (NP (DT the) (NP (NN boa) (NN constrictor)))))))) (SBAR (RB so) (IN that) (S (NP (DT the) (NNS grownups)) (VP (MD could) (VP (VB understand)))))), i, understand,55.085,60.093,5.008
(S (NP (PRP they)) (ADVP (RB always)) (VP (VBP need) (S (VP (TO to) (VP (VB have) (NP (NP (NNS things)) (VP (VBN explained)))))))), they, explained,60.612,62.676,2.064
(S (NP (NP (NP (PRP$ my)) (NP (NN drawing) (NN number))) (NP (CD two))) (VP (VBD looked) (PP (IN like) (NP (DT this))))), my, this,63.594,65.973,2.379
(S (NP (DT the) (NNS grownups)) (VP (VBD advised) (S (NP (PRP me)) (VP (VP (TO to) (VP (VB leave) (PRT (RP aside)) (NP (NP (NP (NNS drawings)) (PP (IN of) (NP (NN boa) (NNS constrictors)))) (ADJP (JJ open) (CC or) (JJ closed))))) (CC and) (VP (TO to) (VP (VB apply) (NP (PRP myself)) (PP (RB instead) (PP (TO to) (NP (NP (NN geography) (NN history) (NN arithmetic)) (CC and) (NP (NN grammar))))))))))), the, grammar,67.14,77.391,10.251
(S (ADVP (RB thus)) (NP (PRP i)) (VP (VBD abandoned) (PP (IN at) (NP (NP (DT the) (NN age)) (PP (IN of) (NP (CD six))))) (NP (NP (DT a) (JJ magnificent) (NN career)) (PP (IN as) (NP (DT a) (NN painter)))))), thus, painter,78.254,83.173,4.919
(S (NP (PRP i)) (VP (VBD was) (VP (VBN discouraged) (PP (PP (IN by) (NP (NP (DT the) (NN failure)) (PP (IN of) (NP (NP (PRP$ my)) (NP (NN drawing) (NN number) (NN one)))))) (CC and) (PP (IN of) (NP (NP (PRP$ my)) (NP (NN drawing) (NN number))) (NP (CD two))))))), i, two,83.716,88.61,4.894
(S (S (NP (NNS grownups)) (ADVP (RB never)) (VP (VBP understand) (NP (NN anything)) (PP (IN by) (NP (PRP themselves))))) (CC and) (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ tiresome) (PP (IN for) (NP (NNS children)))) (S (VP (TO to) (ADVP (RB always)) (VP (VB explain) (NP (NP (NNS things)) (PP (IN for) (NP (PRP them)))) (ADVP (RB again) (CC and) (RB again)))))))), grownups, again,89.054,96.912,7.858
(S (S (IN so) (NP (PRP i)) (VP (VBD had) (S (VP (TO to) (VP (VB choose) (NP (DT another) (NN profession))))))) (CC and) (S (NP (PRP i)) (VP (VBD learned) (S (VP (TO to) (VP (VB fly) (NP (NNS airplanes)))))))), so, airplanes,97.465,101.374,3.909
(S (S (NP (PRP i)) (VP (VBD flew) (NP (DT a) (JJ little)) (PP (IN in) (NP (JJ many) (NNS places))) (PP (IN around) (NP (DT the) (NN world))))) (CC and) (S (NP (NN geography)) (PRN (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ true))))) (VP (VBZ has) (VP (VBN served) (S (NP (PRP me)) (ADVP (RB well))))))), i, well,102.267,107.53,5.263
(S (NP (PRP i)) (VP (MD could) (VP (VB recognize) (PP (IN at) (NP (JJ first) (NN glance) (NN china))) (PP (IN from) (NP (NN arizona)))))), i, arizona,108.174,111.568,3.394
(S (NP (PRP it)) (VP (VBZ is) (ADJP (RB very) (JJ useful)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP get) (VP (VBN lost) (PP (IN at) (NP (NN night))))))))), it, night,111.893,114.057,2.164
(S (NP (PRP i)) (VP (VBP have) (VP (VBN had) (PP (IN during) (NP (NP (NP (PRP$ my)) (NP (NN life))) (PP (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN contact)))) (IN with) (NP (NP (JJ many) (NNS persons)) (PP (IN of) (NP (NN consequence)))))))))), i, consequence,114.725,119.733,5.008
(S (NP (PRP i)) (VP (VBP have) (VP (VBN lived) (NP (DT a) (NN lot)) (PP (IN amongst) (NP (DT the) (NNS grownups)))))), i, grownups,120.152,122.806,2.654
(S (NP (PRP i)) (VP (VBP have) (VP (VBN seen) (NP (PRP them)) (PP (IN from) (ADVP (RB close) (RB up)))))), i, up,123.19,124.67,1.48
(S (NP (PRP it)) (VP (VBZ has) (RB not) (ADVP (RB much)) (VP (VBN improved) (NP (NP (NP (PRP$ my)) (NP (NN opinion))) (PP (IN of) (NP (PRP them))))))), it, them,125.363,127.528,2.165
(S (SBAR (WHADVP (WRB whenever)) (S (NP (PRP i)) (VP (VBD met) (NP (NP (PRP one)) (PP (IN of) (NP (NP (PRP them)) (SBAR (WHNP (WDT that)) (S (VP (VBD seemed) (ADJP (ADVP (NP (DT a) (RB bit)) (RBR more)) (ADJP (JJ clear) (VBD sighted)))))))))))) (SBAR (NP (PRP i)) (VP (VBD tried) (NP (NP (DT the) (NN experiment)) (PP (IN of) (S (VP (VBG showing) (NP (PRP them)) (NP (NP (NP (PRP$ my)) (NP (NN drawing) (NN number) (NN one))) (SBAR (IN that) (S (NP (PRP i)) (VP (VBP have) (ADVP (RB always)) (VP (VBN kept))))))))))))), whenever, kept,128.361,136.958,8.597
(S (S (NP (PRP i)) (VP (VBD wanted) (S (VP (TO to) (VP (VB know) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD were) (ADVP (RB really)) (NP (NP (DT a) (NN person)) (PP (IN of) (NP (JJ true) (NN understanding)))))))))))) (CC but) (S (NP (PRP they)) (ADVP (RB always)) (VP (VBD responded) (SBAR (S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (NN hat)))))))), i, hat,137.526,144.087,6.561
(S (IN so) (NP (PRP i)) (VP (MD would) (ADVP (RB never)) (VP (VB speak) (PP (TO to) (NP (NP (UCP (NP (NP (PRP them)) (PP (IN of) (NP (NN boa) (NNS constrictors)))) (CC nor) (PP (IN of) (NP (JJ primeval) (NNS forests)))) (NNS nor)) (PP (IN of) (NP (DT the) (NNS stars)))))))), so, stars,145.045,150.833,5.788
(S (NP (PRP i)) (VP (VBD put) (NP (PRP myself)) (PP (IN at) (NP (NP (PRP$ their)) (NP (NN level)))))), i, level,151.531,153.056,1.525
(S (NP (NP (PRP i)) (VP (VBN talked) (PP (TO to) (NP (PRP them))) (PP (IN about) (NP (NP (JJ bridge) (NN golf) (NNS politics) (CC and) (NNS neckties)) (CC and) (NP (DT the) (NN grownup)))))) (VP (VBD was) (ADJP (JJ glad) (S (VP (TO to) (VP (VB know) (NP (PDT such) (DT a) (JJ sensible) (NN man)))))))), i, man,153.44,161.889,8.449
(S (IN so) (NP (PRP i)) (VP (VBD lived) (ADVP (RB alone)) (PP (IN without) (NP (NP (NN anyone)) (SBAR (S (NP (PRP i)) (VP (MD could) (ADVP (RB really)) (VP (VB talk) (S (VP (TO to) (VP (PP (IN until) (NP (NP (DT a) (NN breakdown)) (PP (IN in) (NP (DT the) (NN sahara) (NN desert))))) (ADVP (NP (CD six) (NNS years)) (RB ago))))))))))))), so, ago,163.261,170.017,6.756
(S (S (NP (NN something)) (VP (VBD had) (VP (VBN broken) (PP (IN in) (NP (NP (PRP$ my)) (NP (NN engine))))))) (CC and) (S (SBAR (IN as) (S (NP (PRP i)) (VP (VBD had) (PP (IN with) (NP (PRP me)))))) (NP (CC neither) (NP (DT a) (NN mechanic)) (CC nor) (NP (DT any) (FW passengers) (PRP i))) (VP (VBD readied) (NP (PRP myself)) (S (VP (TO to) (VP (VP (VB try)) (CC and) (VP (VB carry) (PRT (RP out)) (ADVP (RB all) (NP (RB alone) (DT the) (JJ difficult) (NNS repairs)))))))))), something, repairs,170.856,181.221,10.365
(S (PP (IN for) (NP (PRP me))) (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (NN matter)) (PP (IN of) (NP (NN life) (CC or) (NN death)))))), for, death,182.039,184.092,2.053
(S (NP (PRP i)) (VP (VBD had) (NP (ADJP (RB hardly) (JJ enough)) (NN water)) (S (VP (TO to) (VP (VB drink) (PP (IN for) (NP (DT a) (NN week)))))))), i, week,184.611,187,2.389
(S (NP-TMP (DT the) (JJ first) (NN night)) (NP (PRP i)) (VP (VBD went) (S (VP (TO to) (VP (VB sleep) (PP (IN on) (NP (DT the) (NN sand))) (PP (NP (QP (DT a) (CD thousand)) (NNS miles)) (IN from) (NP (DT any) (JJ human) (NN habitation)))))))), the, habitation,188.148,193.171,5.023
(S (NP (PRP i)) (VP (VBD was) (ADJP (RBR more) (JJ isolated) (PP (IN than) (NP (DT a) (JJ shipwrecked) (NN sailor)))) (PP (IN on) (NP (NP (DT a) (NN raft)) (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN ocean))))))))), i, ocean,193.62,198.164,4.544
(S (IN so) (NP (PRP you)) (VP (MD can) (VP (VB imagine) (NP (NP (PRP$ my)) (NP (NN surprise))) (SBAR (WHADVP (WRB when)) (S (PP (IN at) (NP (NN daybreak))) (NP (DT a) (JJ funny) (JJ little) (NN voice)) (VP (VBD woke) (NP (PRP me)) (PRT (RP up)))))))), so, up,198.772,203.985,5.213
(S (NP (PRP it)) (VP (VBD said) (VP (VB please) (S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep)))))))), it, sheep,204.758,208.065,3.307
(FRAG (WHNP (WP what))), what, what,208.623,209.028,0.405
(S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))), draw, sheep,209.901,210.981,1.08
(S (NP (PRP i)) (VP (VBD jumped) (PP (TO to) (NP (NP (PRP$ my)) (NP (NNS feet)))) (SBAR (RB as) (IN if) (S (NP (PRP i)) (VP (VBD had) (VP (VBN been) (VP (VBN struck) (PP (IN by) (NP (NN lightning)))))))))), i, lightning,212.008,214.702,2.694
(S (NP (PRP i)) (VP (VBD rubbed) (NP (NP (PRP$ my)) (NP (NNS eyes))))), i, eyes,215.037,216.081,1.044
(S (S (NP (PRP i)) (VP (VBD took) (NP (DT a) (JJ good) (NN look)) (PP (IN around) (NP (PRP me))))) (CC and) (S (NP (PRP i)) (VP (VBD saw) (NP (NP (DT a) (ADJP (RB quite) (JJ extraordinary)) (JJ little) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG examining) (NP (PRP me)) (ADVP (RB seriously)))))))))), i, seriously,216.66,223.907,7.247
(S (NP (RB here)) (VP (VBZ is) (NP (NP (DT the) (JJS best) (NN portrait)) (SBAR (IN that) (S (S (ADVP (RB later)) (NP (PRP i)) (VP (VBD managed) (S (VP (TO to) (VP (VB do) (PP (IN of) (NP (PRP him)))))))) (CC but) (S (NP (NP (NP (PRP$ my)) (NP (NN drawing))) (PP (IN of) (NP (NN course)))) (VP (VBZ is) (ADJP (ADJP (RB much) (RBR less) (JJ charming)) (PP (IN than) (NP (NP (PRP$ its)) (NP (NN model)))))))))))), here, model,224.735,232.081,7.346
(S (NP (PRP it)) (VP (VBZ is) (RB not) (NP (NP (PRP$ my)) (NP (NN fault))))), it, fault,232.549,233.399,0.85
(S (S (NP (PRP i)) (VP (VBD was) (VP (VBN discouraged) (PP (IN in) (NP (NP (NP (PRP$ my)) (NP (NN career))) (PP (IN as) (NP (DT a) (NN painter))))) (PP (IN by) (NP (DT the) (NNS grownups))) (PP (IN at) (NP (NP (DT the) (NN age)) (PP (IN of) (NP (CD six)))))))) (CC and) (S (NP (PRP i)) (VP (VBD had) (RB not) (VP (VBN learned) (S (VP (TO to) (VP (VB draw) (NP (NN anything)) (PP (IN except) (NP (NP (NN boa) (NNS constrictors)) (ADJP (JJ closed) (CC and) (JJ open))))))))))), i, open,233.803,242.214,8.411
(S (NP (PRP i)) (VP (VBD stared) (PP (IN at) (NP (NP (DT this) (JJ sudden) (NN apparition)) (ADJP (RB wide) (JJ eyed)))) (PP (IN with) (NP (NN astonishment))))), i, astonishment,243.227,247.125,3.898
(S (SBAR (VP (VB remember) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD was) (NP (NP (DT a) (CD thousand) (NNS miles)) (PP (IN from) (NP (DT any) (NP (JJ inhabited) (NN region)))))))))) (CC and) (S (ADVP (RB yet)) (S (NP (DT this) (NP (JJ little) (NN fellow))) (VP (VBD seemed) (ADVP (RB neither)) (ADJP (ADJP (VBD lost)) (CC nor) (ADJP (ADJP (RB half) (JJ dead)) (PP (IN with) (NP (NN fatigue)))) (CC nor) (ADJP (ADJP (JJ starved)) (CC or) (ADJP (VBG dying) (PP (IN of) (NP (NN thirst) (CC or) (NN fear)))))))))), remember, fear,247.34,258.43,11.09
(S (NP (PRP he)) (VP (VBD looked) (NP (NN nothing)) (PP (IN like) (NP (NP (DT a) (NN child)) (VP (VBN lost) (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN desert))))) (NP-TMP (DT a) (CD thousand) (NNS miles)) (PP (IN from) (NP (DT any) (JJ inhabited) (NN region)))))))), he, region,259.448,265.456,6.008
(S (SBAR (WHADVP (WRB when)) (S (NP (PRP i)) (ADVP (RB finally)) (VP (VBD managed) (S (VP (TO to) (VP (VB speak) (NP (PRP i)))))))) (VP (VBD said) (SBAR (WHNP (WP what)) (S (VP (VBP are) (NP (NP (PRP you)) (VP (VBG doing) (ADVP (RB here))))))))), when, here,266.399,270.616,4.217
(S (CC and) (NP (PRP he)) (VP (VBD repeated) (ADVP (RB very) (RB slowly)) (SBAR (RB as) (IN if) (S (S (NP (PRP it)) (VP (VBD was) (NP (NP (NN something)) (ADJP (RB very) (JJ serious))))) (S (FRAG (VB please)) (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))))))), and, sheep,271.279,279.089,7.81
(S (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NN mystery)) (VP (VBZ is) (ADJP (RB too) (JJ overpowering))))) (NP (PRP one)) (VP (MD dare) (RB not) (VP (VB disobey)))), when, disobey,280.615,284.14,3.525
(S (S (ADJP (JJ absurd) (SBAR (IN as) (S (NP (PRP it)) (VP (VBD seemed) (PP (TO to) (NP (PRP me))) (NP (NP (QP (DT a) (CD thousand)) (NNS miles)) (PP (PP (IN from) (NP (DT any) (JJ human) (NN habitation))) (CC and) (PP (IN in) (NP (NP (NN danger)) (PP (IN of) (NP (NN death)))))))))))) (NP (PRP i)) (VP (VBD took) (PRT (RP out)) (NP (PP (IN of) (NP (NP (PRP$ my)) (NP (NN pocket)))) (NP (NP (DT a) (NN sheet)) (PP (IN of) (NP (NP (NN paper)) (CC and) (NP (DT a) (NN pen)))))))), absurd, pen,284.813,293.804,8.991
(S (CC but) (S (ADVP (RB then)) (S (NP (PRP i)) (VP (VBD remembered) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD had) (ADVP (RB mainly)) (VP (VBN studied) (NP (NN geography) (NN history) (NN arithmetic) (CC and) (NN grammar))))))))) (CC and) (S (NP (PRP i)) (VP (VP (VP (VBD told) (NP (DT the) (NP (JJ little) (NN fellow)))) (ADVP (NP (DT a) (RB little)) (RB crossly))) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD did) (RB not) (VP (VB know) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB draw)))))))))))), but, draw,294.408,304.697,10.289
(S (NP (PRP he)) (VP (VBD replied) (SBAR (S (NP (PRP it)) (VP (VBZ does) (RB not) (VP (VB matter))))))), he, matter,305.48,307.509,2.029
(S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))), draw, sheep,307.967,308.977,1.01
(S (PP (IN as) (NP (PRP i))) (VP (VBD had) (ADVP (RB never)) (VP (VBN drawn) (NP (NP (DT a) (NN sheep) (NN i) (NN redrew)) (PP (IN for) (NP (PRP him)))))) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJ only) (CD two) (NNS drawings))) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD was) (ADJP (JJ capable) (PP (IN of)))))))), as, of,310.095,315.538,5.443
(NP (NP (DT the) (NN one)) (PP (IN of) (NP (DT the) (VBN closed) (NN boa) (NN constrictor)))), the, constrictor,316.011,318.131,2.12
(S (CC and) (NP (PRP i)) (VP (VBD was) (ADJP (JJ astounded) (S (VP (TO to) (VP (VB hear) (S (NP (DT the) (JJ little) (NN fellow)) (VP (VB respond) (ADVP (DT no) (RB no) (SBAR (S (NP (PRP i)) (VP (VBP do) (RB not) (VP (VB want) (NP (NP (DT an) (NN elephant)) (PP (IN inside) (NP (DT a) (NN boa) (NN constrictor))))))))))))))))), and, constrictor,318.649,326.565,7.916
(S (S (NP (DT a) (NN boa) (NN constrictor)) (VP (VBZ is) (ADJP (RB very) (JJ dangerous)))) (CC and) (S (NP (DT an) (NN elephant)) (VP (VBZ is) (ADJP (RB very) (JJ cumbersome))))), a, cumbersome,326.939,331.712,4.773
(S (SBAR (WHADVP (WRB where)) (S (NP (PRP i)) (VP (VBP live) (NP (NN everything))))) (VP (VBZ is) (ADJP (RB very) (JJ small)))), where, small,332.126,334.326,2.2
(S (NP (PRP i)) (VP (VBP need) (NP (DT a) (NN sheep)))), i, sheep,334.675,335.825,1.15
(S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))), draw, sheep,336.104,337.069,0.965
(S (IN so) (NP (PRP i)) (VP (VBD drew))), so, drew,337.927,338.596,0.669
(S (NP (PRP he)) (VP (VBD looked) (ADVP (RB carefully)) (SBAR (S (NP (RB then)) (VP (VBD said) (SBAR (S (NP (RB no) (DT this) (NN one)) (VP (VBZ is) (ADVP (RB already)) (ADJP (RB very) (JJ sick)))))))))), he, sick,339.584,344.112,4.528
(S (VP (VB make) (NP (DT another) (NN one)))), make, one,344.436,345.326,0.89
(S (NP (PRP i)) (VP (VBD drew) (ADVP (RB again)))), i, again,346.069,346.899,0.83
(S (S (NP (NP (PRP$ my)) (NP (NN friend))) (VP (VBD smiled) (ADVP (RB gently)))) (CC and) (S (ADVP (RB indulgently)) (NP (PRP you)) (VP (MD can) (VP (VB see) (NP (PRP yourself)))))), my, yourself,347.627,352.275,4.648
(S (NP (DT this)) (VP (VBZ is) (RB not) (NP (DT a) (NN sheep)))), this, sheep,352.275,353.395,1.12
(S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (NN ram)))), it, ram,353.395,354.345,0.95
(S (NP (PRP it)) (VP (VBZ has) (NP (NNS horns)))), it, horns,354.679,355.949,1.27
(S (IN so) (ADVP (RB once) (RB again)) (NP (PRP i)) (VP (VBD redid) (NP (NP (PRP$ my)) (NP (NN drawing))))), so, drawing,356.911,359.081,2.17
(S (CC but) (NP (PRP it)) (VP (VBD was) (VP (VBN rejected) (PP (IN like) (NP (DT the) (JJ previous) (NNS ones)))))), but, ones,359.37,361.869,2.499
(S (NP (DT this) (NN one)) (VP (VBZ is) (ADJP (RB too) (JJ old)))), this, old,362.562,364.537,1.975
(S (NP (PRP i)) (VP (VBP want) (NP (NP (DT a) (NN sheep)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB live) (NP (DT a) (JJ long) (NN time))))))))), i, time,364.537,367.036,2.499
(S (S (RB so) (VP (VBG getting) (ADJP (JJ impatient)) (SBAR (IN as) (S (NP (PRP i)) (VP (VBD was) (ADJP (JJ eager) (S (VP (TO to) (VP (VB start) (NP (VBG dismantling) (NP (NP (PRP$ my)) (NP (NN engine))))))))))))) (NP (PRP i)) (ADVP (RB hastily)) (VP (VBD sketched) (SBAR (S (NP (NP (DT this) (NN drawing)) (CC and) (NP (PRP i))) (VP (VBD snapped) (NP (DT this))))))), so, this,368.008,376.513,8.505
(S (NP (RB here)) (VP (VBZ is) (NP (DT the) (NN box)))), here, box,376.513,377.473,0.96
(S (NP (NP (DT the) (NN sheep)) (SBAR (S (NP (PRP you)) (VP (VBP want))))) (VP (VBZ is) (ADVP (RB inside)))), the, inside,377.473,379.032,1.559
(S (CC but) (S (NP (PRP i)) (VP (VP (VBD was) (ADJP (RB very) (VBN surprised))) (S (VP (TO to) (VP (VB see) (S (NP (NP (DT the) (NN face)) (PP (IN of) (NP (NP (PRP$ my)) (NP (JJ young) (NN judge))))) (VP (VB light) (PRT (RP up)))))))))), but, up,379.761,383.985,4.224
(S (NP (PRP it)) (VP (VBZ is) (ADVP (RB exactly)) (NP (NP (DT the) (NN way)) (SBAR (S (NP (PRP i)) (VP (VBD wanted))))))), it, wanted,384.688,386.692,2.004
(S (VP (VB do) (SBAR (S (NP (PRP you)) (VP (VBP think) (SBAR (S (NP (DT this) (NN sheep)) (VP (VBZ needs) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN grass)))))))))))), do, grass,387.091,389.416,2.325
(FRAG (WRB why)), why, why,390.164,390.614,0.45
(FRAG (SBAR (IN because) (S (SBAR (WHADVP (WRB where)) (S (NP (PRP i)) (VP (VBP am) (PP (IN from) (NP (NN everything)))))) (VP (VBZ is) (ADJP (RB very) (JJ small)))))), because, small,391.317,393.857,2.54
(S (NP (EX there)) (VP (MD will) (ADVP (RB certainly)) (VP (VB be) (ADJP (JJ enough))))), there, enough,394.645,395.905,1.26
(S (NP (PRP i)) (VP (VBD gave) (NP (PRP you)) (NP (DT a) (ADJP (RB very) (JJ small)) (NP (NN sheep))))), i, sheep,396.154,398.153,1.999
(S (NP (PRP he)) (VP (VBD leaned) (NP (NP (PRP$ his)) (NP (NN head))) (PP (IN towards) (NP (DT the) (NN drawing))))), he, drawing,399.111,401.076,1.965
(FRAG (RB not) (ADJP (RB that) (JJ small))), not, small,401.629,402.784,1.155
(S (VP (VB look))), look, look,403.407,403.967,0.56
(S (NP (PRP he)) (VP (VBZ is) (VP (VBN fallen) (S (ADJP (RB asleep)))))), he, asleep,404.306,405.515,1.209
(S (CC and) (NP (DT that)) (VP (VBZ is) (SBAR (WHADVP (WRB how)) (S (NP (PRP i)) (VP (VBD met) (NP (DT the) (NP (JJ little) (NN prince)))))))), and, prince,406.348,408.467,2.119
(S (NP (PRP it)) (VP (VBD took) (NP (PRP me)) (NP (DT a) (JJ long) (NN time) (S (VP (TO to) (VP (VB find) (PRT (RP out)) (SBAR (WHADVP (WRB where)) (S (NP (PRP he)) (VP (VBD came) (PP (IN from))))))))))), it, from,410.046,412.93,2.884
(S (NP (NP (DT the) (NP (JJ little) (NN prince))) (SBAR (WHNP (WP who)) (S (VP (VBD asked) (S (NP (PRP me)) (NP (JJ many) (NNS questions))))))) (ADVP (RB never)) (VP (VBD seemed) (S (VP (TO to) (VP (VB hear) (NP (NP (PRP$ my)) (NP (NN own)))))))), the, own,413.454,417.972,4.518
(S (NP (PRP it)) (VP (VBD was) (NP (NP (DT the) (NNS words)) (VP (VBN spoken) (PP (IN by) (NP (NN chance))) (SBAR (IN that) (S (NP (NP (RB little)) (PP (IN by) (NP (RB little)))) (VP (VBD revealed) (NP (NN everything)) (PP (TO to) (NP (PRP me)))))))))), it, me,419.004,423.648,4.644
(FRAG (ADVP (RB so)) (SBAR (WHADVP (WRB when)) (S (NP (PRP he)) (VP (VBD saw) (NP (NP (PRP$ my)) (NP (NN airplane))) (PP (IN for) (NP (DT the) (JJ first) (NN time))))))), so, time,424.491,426.785,2.294
(S (NP (PRP i)) (VP (MD will) (RB not) (VP (VB draw) (NP (NP (PRP$ my)) (NP (NN airplane)))))), i, airplane,427.384,428.889,1.505
(S (NP (PRP it)) (VP (MD would) (VP (VB be) (VP (ADVP (NP (DT a) (NN drawing)) (RB far) (RB too)) (VBN complicated) (PP (IN for) (NP (PRP me))))))), it, me,428.889,431.392,2.503
(S (NP (PRP he)) (VP (VBD asked) (NP (PRP me)) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (NP (DT that) (NN thing)) (ADVP (RB there))))))), he, there,431.881,434.449,2.568
(S (NP (PRP it)) (VP (VBZ is) (RB not) (NP (DT a) (NN thing)))), it, thing,435.297,436.062,0.765
(S (NP (PRP it)) (VP (VBZ flies))), it, flies,436.261,436.956,0.695
(S (NP (PRP it)) (VP (VBZ is) (NP (DT an) (NN airplane)))), it, airplane,437.156,437.965,0.809
(S (NP (PRP it)) (VP (VBZ is) (NP (NP (PRP$ my)) (NP (NN airplane))))), it, airplane,438.057,438.905,0.848
(S (CC and) (NP (PRP i)) (VP (VBD was) (ADJP (JJ proud) (S (VP (TO to) (VP (VB have) (S (NP (PRP him)) (VP (VB know) (SBAR (IN that) (S (NP (PRP i)) (VP (MD could) (VP (VB fly))))))))))))), and, fly,439.608,441.947,2.339
