tree,first_word,first_onset,last_word,last_offset
当我遇到一个头脑看来稍微清楚的大人时我就拿出一直保存着的我那第一号作品来测试测试他,当,124.92,他,132.24
我想知道他是否真的有理解能力可是得到的回答总是这是顶帽子,我,133.03,帽子,139.44
我就不和他谈巨蟒呀原始森林呀或者星星之类的事儿,我,140.38,事,144.33
我只得迁就他的水平和他们谈些桥牌呀高尔夫球呀政治呀领带呀这些,我,144.86,这些,150.76
于是大人们就十分高兴能认识我这样一个通情达理的人,于是,151.64,人,156.02
我就这样孤独地生活着,我,157.26,着,158.86
没有一个能真正谈得来的人,没有,159.59,人,161.18
一直到六年前在撒哈拉沙漠上发生了那次故障,一直,161.77,故障,165.43
我的发动机里有个东西损坏了,我,166.13,了,167.98
当时由于我既没有带机械师也没有带旅客我就试图独自完成这个困难的维修工作,当时,168.75,工作,175.31
这对我来说是个生与死的问题,这,176.16,问题,178.56
我随身带的水只够饮用一星期,我,179.25,星期,181.7
第一天晚上我就睡在这远离人间烟火的大沙漠上,第一,182.6,上,186.15
我比大海中伏在小木排上的遇难者还要孤独得多,我,186.83,多,190.54
而在第二天拂晓当一个奇怪的小声音叫醒我的时候你们可以想见我当时是多么吃惊,而,191.57,吃惊,198.41
这小小的声音说道请你给我画一只羊好吗,这,199.34,吗,203.43
啊,啊,204.3,啊,204.58
给我画一只羊,给,205.46,羊,206.44
我像是受到惊雷轰击一般一下子就站立起来,我,207.46,起来,210.66
我使劲地揉了揉眼睛仔细地看了看,我,211.5,看,213.88
我看见一个十分奇怪的小家伙严肃地朝我凝眸望着,我,214.44,着,218.33
这是后来我给他画出来的最好的一幅画像,这,219.26,画像,222.14
可是我的画当然要比他本人的模样逊色得多,可是,223.24,多,227.34
这不是我的过错,这,228.05,过错,229.17
六岁时大人们使我对我的画家生涯失去了勇气,六,230.47,勇气,234.35
除了画过开着肚皮和闭着肚皮的蟒蛇后来再没有学过画,除了,235.03,画,238.96
我惊奇地睁大着眼睛看着这突然出现的小家伙,我,239.57,小家伙,243.49
你们不要忘记我当时处在远离人烟千里之外的地方,你们,244.15,地方,248.43
而这个小家伙给我的印象是他既不像迷了路的样子也没有半点疲乏饥渴惧怕的神情,而,248.87,神情,256.59
他丝毫不像是一个迷失在旷无人烟的大沙漠中的孩子,他,257.35,孩子,261.36
当我在惊讶之中终于又能说出话来的时候对他说道唉你在这儿干什么,当,262.08,什么,268.91
可是他却不慌不忙地好像有一件重要的事一般对我重复地说道请给我画一只羊,可是,269.84,羊,277.5
当一种神秘的东西把你镇住的时候你是不敢不听从它的支配的,当,278.43,的,283.25
在这旷无人烟的沙漠上面临死亡的危险的情况下尽管这样的举动使我感到十分荒诞我还是掏出了一张纸和一支钢笔,在,284.03,钢笔,293.68
这时我却又记起我只学过地理历史算术和语法就有点不大高兴地对小家伙说我不会画画,这时,294.48,画画,303.94
他回答我说没有关系给我画一只羊吧,他,304.78,吧,308.46
因为我从来没有画过羊我就给他重画我所仅仅会画的两幅画中的那幅闭着肚皮的巨蟒,因为,309.23,巨蟒,316.19
不不,不,316.96,不,318.05
我听了他的话简直目瞪口呆,我,318.9,目瞪口呆,321.03
我不要蟒蛇,我,321.66,蟒蛇,322.71
它肚子里还有一头象,它,323.28,象,324.93
巨蟒这东西太危险,巨蟒,325.56,危险,326.95
大象又太占地方,大象,327.39,地方,328.81
我住的地方非常小,我,329.39,小,330.8
我需要一只羊,我,331.26,羊,332.19
给我画一只羊吧,给,332.81,吧,334.32
我就给他画了,我,335.47,了,336.38
他专心地看着随后又说我不要,他,337.09,不要,340.44
这只羊已经病得很重了,这,341.08,了,343.04
给我重新画一只,给,343.67,只,344.82
我又画了起来,我,345.76,起来,346.71
我的这位朋友天真可爱地笑了,我,347.31,了,349.54
你看你画的不是小羊他说,你,350.39,说,354.06
是头公羊还有犄角呢,是,354.83,呢,357.1
于是我又重新画了一张,于是,358.15,张,360.28
这幅画同前几幅一样又被拒绝了,这,361.15,了,363.71
这一只太老了,这,364.58,了,365.73
我想要一只能活得长的羊,我,366.26,羊,368.47
我不耐烦了,我,369.44,了,370.2
因为我急于要检修发动机于是就草草画了这张画并且匆匆地对他说道这是一只箱子,因为,370.71,箱子,378.68
你要的羊就在里面,你,379.23,里面,380.55
这时我十分惊奇地看到我的这位小评判员喜笑颜开,这时,381.59,喜笑颜开,385.75
他说这正是我想要的,他,386.53,的,389.07
你说这只羊需要很多草吗,你,389.69,吗,391.96
为什么,为什么,392.87,为什么,393.29
因为我住的地方一切都非常小,因为,394.13,小,396.39
地方小也够喂养它的我说,地方,397.14,说,400.07
我给你画的是一只很小的小羊,我,400.62,羊,402.94
他把脑袋靠近这张画,他,403.84,画,405.29
并不像你说的那么小,并,406.22,小,407.7
瞧它睡着了,瞧,408.35,了,409.87
就这样我认识了小王子,就,410.4,小王子,413.42
我费了好长时间才弄清楚他是从哪里来的,我,414.63,的,417.72
小王子向我提出了很多问题,小王子,418.51,问题,420.61
可是对我提出的问题他好像压根儿没有听见似的,可是,421.12,似的,424.44
他无意中吐露的一些话逐渐使我搞清了他的来历,他,425.3,来历,428.47
例如当他第一次瞅见我的飞机时我就不画出我的飞机了因为这种图画对我来说太复杂他问我道这是个啥玩意儿,例如,429.12,玩意,439.14
这不是玩意儿,这,440.07,玩意,440.94
它能飞,它,441.38,飞,441.89
这是飞机,这,442.5,飞机,443.14
是我的飞机,是,443.43,飞机,444.32
我当时很骄傲地告诉他我能飞,我,445.08,飞,447.08
于是他惊奇地说道怎么你是从天上掉下来的,于是,447.87,的,451.93
是的我谦逊地答道,是,452.67,答道,454.61
啊这真滑稽,啊,455.1,滑稽,456.75
此时小王子发出一阵清脆的笑声,此时,457.71,笑声,460.23
这使我很不高兴,这,460.9,高兴,462.01
我要求别人严肃地对待我的不幸,我,462.64,不幸,464.58
然后他又说道那么你也是从天上来的了,然后,465.29,了,469.1
你是哪个星球上的,你,469.66,的,471.23
即刻对于他是从哪里来的这个秘密我隐约发现到了一点线索,即刻,472.27,线索,477.02
于是我就突然问道你是从另一个星球上来的吗,于是,477.68,吗,481.95
可是他不回答我的问题,可是,482.91,问题,484.27
他一面看着我的飞机一面微微地点点头接着说道可不是吗,他,484.7,吗,489.84
乘坐这玩意儿你不可能是从很远的地方来的,乘坐,490.39,的,493.63
说到这里他就长时间地陷入沉思之中,说,494.55,之中,497.43
然后从口袋里掏出了我画的小羊看着他的宝贝入了神,然后,498.08,神,502.08
你们可以想见这种关于别的星球的若明若暗的话语使我心里多么好奇,你们,502.63,好奇,507.48
因此我竭力地想知道其中更多的奥秘,因此,508.01,奥秘,510.86
你是从哪里来的我的小家伙,你,511.48,小家伙,513.5
你的家在什么地方,你,514.11,地方,515.21
你要把你的小羊带到哪里去,你,515.75,去,517.43
他沉思了一会儿然后回答我说好在有你给我的那只箱子夜晚可以给小羊当房子用,他,518.35,用,525.25
那当然如果你听话的话我再给你画一根绳子,那,526.15,绳子,529.81
白天可以拴住它,白天,530.19,它,531.16
我的建议看来有点儿使小王子反感,我,532.23,反感,534.61
拴住它,拴,535.37,它,536.01
多么奇怪的主意,多么,536.55,主意,537.52
如果你不拴住它它就到处跑,如果,538.79,跑,540.92
那么它会跑丢的,那么,541.32,的,542.27
我的这位朋友又笑出了声你想要它跑到哪里去呀,我,543.2,呀,547.55
不管什么地方它一直往前跑,不管,548.51,跑,550.64
这时小王子郑重其事地说这没有什么关系,这时,551.44,关系,555.58
我那里很小很小,我,556.11,小,557.74
接着他略带伤感地又补充了一句一直朝前走也不会走出多远,接着,558.7,远,564.95
我还了解到另一件重要的事儿就是他老家所在的那个星球比一座房子大不了多少,我,0.04,多少,6.22
这倒并没有使我感到太奇怪,这,7.07,奇怪,8.82
我知道除地球木星火星金星这几个有名称的大行星以外还有成百个别的星球,我,9.5,星球,16.15
它们有的小得很就是用望远镜也很难看见,它们,16.71,看见,20.39
当一个天文学者发现了其中一个星星他就给它编上一个号码例如把它称作325小行星,当,21.5,行星,28.83
我有重要的根据认为小王子所来自的那个星球是小行星B612,我,29.54,612,34.96
这颗小行星仅仅被用望远镜看见过一次,这,35.65,次,38.85
在1909年被一个土耳其天文学家,在,39.62,天文学家,42.34
当时他曾经在一次国际天文学家代表大会上对他的发现做了重要的论证,当时,42.95,论证,49.41
但由于他所穿衣服的缘故那时没有人相信他,但,50.07,他,53.93
那些大人们就是这样,那些,54.6,这样,56.39
幸好土耳其的一个独裁者为了小行星B612的声誉迫使他的人民都要穿欧式服装否则就处以死刑,幸好,57.05,死刑,67.13
1920年这位天文学家穿了一身儿非常漂亮的服装重新做了一次论证,1920,68.11,论证,73.53
这一次所有的人都同意他的看法,这,74.25,看法,76.61
我给你们讲关于小行星B612的这些细节并且告诉你们它的编号这是由于这些大人的缘故,我,77.43,缘故,85.16
当你对大人们讲起你的一个新朋友时他们从来不向你提出实质性的问题,当,85.99,问题,90.83
他们从来不讲他说话声音如何啊他喜爱什么样的游戏啊他是否收集蝴蝶标本呀,他们,91.27,呀,98.28
他们却问你他多大年纪呀弟兄几个呀体重多少呀他父亲挣多少钱呀,他们,99.08,呀,105.8
他们以为这样才算了解朋友,他们,106.87,朋友,109.18
如果你对大人们说我看到一栋用玫瑰色的砖盖成的漂亮的房子,如果,110.0,房子,114.95
它的窗户上有天竺葵屋顶上还有鸽子,它,115.59,鸽子,118.91
他们怎么也想象不出这种房子有多么好,他们,119.64,好,122.18
必须对他们说我看见了一栋价值十万法郎的房子,必须,122.97,房子,126.59
那么他们就惊叫道多么漂亮的房子啊,那么,127.03,啊,130.04
要是你对他们说小王子存在的证据就是他非常漂亮,要是,130.96,漂亮,135.4
他笑着想要一只羊,他,135.99,羊,137.69
他想要一只小羊,他,138.32,羊,139.5
这就证明他的存在,这,140.01,存在,141.15
但是告诉他们有什么好处呢,但是,142.1,呢,144.16
他们一定会耸耸肩膀把你当作孩子看待,他们,144.73,看待,147.61
但是如果你对他们说小王子来自的星球就是小行星B612,但是,148.49,612,154.11
那么他们就十分信服,那么,154.68,信服,156.07
他们就不会提出一大堆问题来和你纠缠,他们,156.64,纠缠,159.16
他们就是这样的,他们,159.95,的,160.95
小孩子们对大人们应该宽厚些,小,161.44,些,163.91
不要埋怨他们,不,164.38,他们,165.32
当然对我们懂得生活的人来说我们才不在乎那些编号呢,当然,166.42,呢,171.31
我真愿意像讲神话那样来开始这个故事,我,171.82,故事,174.93
我真想这样说从前呀有一个小王子他住在一个和他身体差不多大的星球上,我,175.64,上,183.07
他希望有一个朋友,他,183.7,朋友,185.08
对懂得生活的人来说这样说就显得真实,对,186.22,真实,189.57
我可不喜欢人们轻率地读我的书,我,190.97,书,193.08
我在讲述这些往事时心情是很难过的,我,193.89,的,196.62
我的朋友带着他的小羊已经离去六年了,我,197.43,了,200.45
我之所以在这里尽力地把他描写出来就是为了不要忘记他,我,201.42,他,206.26
忘记一个朋友这太叫人悲伤了,忘记,207.29,了,210.28
并不是所有的人都有过一个朋友,并,211.3,朋友,213.68
再说我也可能变成那些大人那样只对数字感兴趣,再,214.66,兴趣,219.62
也正是为了这个缘故我买了一盒颜料和一些铅笔,也,221.11,铅笔,224.55
像我这样年纪的人而且除了六岁时画过闭着肚皮的和开着肚皮的巨蟒外别的什么也没有尝试过现在重新再来画画真费劲啊,像,225.17,啊,236.54
当然我一定要把这些画尽量地画得逼真,当然,237.66,逼真,241.07
但我自己也没有把握,但,241.88,把握,243.58
一张画得还可以另一张就不像了,一,244.43,了,247.62
还有身材大小我画得有点儿不准确,还有,248.23,准确,250.87
在这个地方小王子画得太大了些另一个地方又画得太小了些,在,251.79,些,257.51
对他衣服的颜色我也拿不准,对,258.31,准,260.5
于是我就摸索着这么试试那么改改画个大概齐,于是,261.58,齐,266.19
我很可能在某些重要的细节上画错了,我,267.08,了,269.86
这就得请大家原谅我了,这,270.63,了,272.54
因为我的这个朋友从来也不加说明解释,因为,273.54,解释,276.56
他认为我同他一样,他,277.27,一样,278.5
可是很遗憾我却不能透过盒子看见小羊,可是,279.62,羊,283.38
我大概有点儿和大人们差不多,我,284.23,差不多,286.16
我一定是变老了,我,287.0,了,289.05
每天我都了解到一些关于小王子的星球他的出走和旅行等事情,每天,291.03,事情,295.8
这些都是偶然从各种反应中慢慢得到的,这些,296.56,的,299.55
就这样第三天我就了解到关于猴面包树的悲剧,就,300.4,悲剧,305.48
这一次又是因为羊的事情,这,306.43,事情,308.51
突然小王子好像是非常担心地问我道羊吃小灌木这是真的吗,突然,309.15,吗,315.5
是的是真的,是,316.4,的,318.01
啊我真高兴,啊,318.77,高兴,321.17
我不明白羊吃小灌木这件事儿为什么如此重要,我,321.83,重要,325.65
可小王子又说道因此它们也吃猴面包树啰,可,326.42,啰,331.37
我对小王子说猴面包树可不是小灌木而是像教堂那么大的大树,我,332.63,大树,338.32
即便是带回一群大象也啃不了一棵猴面包树,即便,338.92,猴面包树,342.44
一群大象这种想法使小王子发笑,一,343.52,发笑,346.12
那可得把这些大象一只叠一只地磊起来,那,346.94,起来,350.11
他很有见识地说猴面包树在长大之前开始也是小小的,他,350.7,的,356.07
那是不错我说,那,356.95,说,358.61
可是为什么你想叫你的羊去吃小猴面包树呢,可是,359.3,呢,362.47
他回答我道唉这还用说,他,363.22,说,366.4
似乎这是不言而喻的,似乎,366.95,的,368.94
可是我自己要费很大的心劲儿才能弄懂这个问题,可是,370.01,问题,373.42
原来在小王子的星球上就像其他所有星球上一样有好草和坏草因此也就有益草的草籽和毒草的草籽,原来,374.08,草种,384.31
可是草籽是看不见的,可是,384.95,的,386.72
它们沉睡在泥土里直到其中的一粒忽然想要苏醒过来,它们,387.43,过来,391.63
于是它就伸展开身子开始腼腆地朝着太阳长出一棵秀丽可爱的小嫩苗,于是,392.37,苗,398.1
如果是小萝卜或是玫瑰的嫩苗就让它去自由地生长,如果,398.89,生长,403.22
如果是一棵坏苗一旦被辨认出来就应该马上把它拔掉,如果,403.77,拔掉,408.19
因为在小王子的星球上有些非常可怕的种子,因为,409.21,种子,412.45
这就是猴面包树的种子,这,413.13,种子,415.06
在那里的泥土里这种种子多得成灾,在,415.74,成灾,418.75
而一棵猴面包树苗假如你拔得太迟就再也无法把它清除掉,而,419.24,掉,424.21
它就会盘踞整个星球,它,424.95,星球,426.5
它的树根能把星球钻透,它,427.05,透,428.88
如果星球很小而猴面包树很多它就把整个星球搞得支离破碎,如果,429.53,支离破碎,434.62
这是个纪律问题小王子后来向我解释道,这,435.72,道,440.07
当你早上梳洗完毕以后必须仔细地给星球梳洗,当,440.93,梳洗,444.75
必须规定自己按时去拔掉猴面包树苗,必须,445.23,苗,448.22
这种树苗小的时候与玫瑰苗差不多,这,448.89,差不多,451.61
一旦可以把它们区别开的时候就要把它拔掉,一旦,452.19,拔掉,455.36
这是一件非常乏味的工作但很容易小王子说,这,456.13,说,461.03
有一天他劝我用心地画一幅漂亮的图画好叫我家乡的孩子们对这件事有一个深刻的印象,有,461.78,印象,468.99
他还对我说如果将来有一天他们出外旅行这对他们是很有用的,他,469.83,的,476.1
有时候人们把自己的工作推到以后去做并没有什么妨害但要遇到拔猴面包树苗这种事那就非造成大灾难不可,有时候,476.8,不可,487.21
我遇到过一个星球上面住着一个懒家伙,我,487.95,家伙,491.06
他放过了三棵小树苗,他,491.58,树苗,493.05
于是根据小王子的说明我把这个星球画了下来,于是,494.26,下来,498.34
我从来不大愿意以道学家的口吻来说话,我,499.23,说话,501.97
可是猴面包树的危险大家都不大了解,可是,502.68,了解,505.41
对迷失在小行星上的人来说危险性非常之大,对,505.95,大,509.32
因此这一回我贸然打破了我的这种不喜欢教训人的惯例,因此,510.03,惯例,514.23
孩子们我说要当心那些猴面包树呀,孩子们,515.27,呀,519.15
为了叫我的朋友们警惕这种危险他们同我一样长期以来和这种危险接触却没有意识到它的危险性我花了很大的功夫画了这幅画,为了,520.16,画,531.39
我提出的这个教训意义是很重大的,我,531.93,的,534.59
花点儿功夫是很值得的,花,535.24,的,536.99
你们也许要问为什么这本书中别的画都没有这副画那么壮观呢,你们,537.86,呢,542.64
回答很简单我也试了,回答,543.32,了,545.67
别的画我也曾经试图画得好些却没成功,别的,546.32,成功,550.04
而当我画猴面包树时有一种急切的心情在激励着我,而,550.58,我,554.77
啊小王子就这样我逐渐懂得了你那忧郁的生活,啊,556.72,生活,561.96
过去相当长的时间里你唯一的乐趣就是观赏那夕阳西下的温柔晚景,过去,562.82,晚景,568.24
这个新的细节是我在第四天早晨知道的,这个,569.11,的,572.39
你当时对我说道我喜欢看日落,你,573.27,日落,576.0
我们去看一回日落吧,我们,576.78,吧,578.62
可是得等着我说,可是,579.66,说,582.47
等什么,等,583.45,什么,583.97
等太阳落山,等,584.96,落山,585.79
我们必须等到那个时候,我们,586.33,时候,587.77
开始你显得很惊奇的样子,开始,588.71,样子,590.9
随后你笑自己的糊涂,随后,591.49,糊涂,593.0
你对我说我总以为是在我的家乡呢,你,593.71,呢,597.47
确实大家都知道在美国是正午时分在法国正夕阳西下,确实,598.64,夕阳,604.61
只要在一分钟内赶到法国就可看到日落,只要,605.27,日落,608.03
可惜法国是那么的遥远,可惜,608.81,遥远,610.98
而在你那样的小行星上你只要把你的椅子挪动几步就行了,而,611.97,了,616.11
这样你便可随时看到你想看的夕阳余晖,这样,616.67,余晖,620.23
一天我看见过四十三次日落你对我说,一,621.35,说,625.92
过一会儿你又说你知道当人们感到非常苦闷时总是喜欢日落的,过,626.66,的,633.55
你怎么会这么苦闷我问,你,634.8,问,637.11
一天四十三次,一,637.81,次,639.51
但是小王子没有回答,但是,640.58,回答,642.66
第五天还是羊的事儿把小王子的生活秘密向我揭开了,第五,0.0,了,5.02
好像默默地思索了很长时间以后得出了什么结果一样他突然没头没脑地问我羊要是吃小灌木它也要吃花啰,好像,5.65,啰,15.18
羊它碰到什么吃什么我回答,羊,16.23,回答,19.21
连有刺儿的花也吃吗,连,20.11,吗,21.27
有刺的也吃,有,21.97,吃,22.84
那么刺有什么用呢,那么,23.48,呢,25.26
我不知道该怎么回答,我,26.33,回答,27.87
那会儿我正忙着要从发动机上卸下一颗拧得太紧的螺丝,那会,28.53,螺丝,32.37
我发现机器故障似乎很严重,我,33.1,严重,34.84
饮水也快完了,饮水,35.34,了,36.27
担心可能发生最坏的情况心里很着急,担心,37.01,着急,39.52
那么刺有什么用呢,那么,40.31,呢,41.75
小王子一旦提出了问题从来不会放过,小王子,42.72,放过,45.15
这个该死的螺丝使我很恼火,这个,45.62,恼火,47.5
我于是就随便回答了他一句刺么什么用都没有,我,47.85,没有,51.91
这纯粹是花的恶劣表现,这,52.32,表现,53.72
噢,噢,54.6,噢,54.85
可是他沉默了一会儿之后怀着不满的心情冲我说我不信,可是,56.0,信,60.32
花是弱小的,花,60.95,的,61.75
它们是淳朴的,它们,62.14,的,62.99
它们总是设法保护自己,它们,63.5,自己,64.99
以为有了刺就可以显出自己的厉害,以为,65.47,厉害,68.15
我默不作声,我,69.26,不说话,69.98
我当时想的如果这个螺丝再和我作对我就一锤子敲掉它,我,70.52,它,74.37
小王子又来打搅我的思绪了,小王子,75.01,了,76.98
你却认为花,你,77.3,花,78.3
算了吧我喊道,算了,78.55,道,80.22
算了吧算了吧,算了,80.85,吧,82.31
我什么也不认为,我,83.02,认为,83.85
我是随便回答你的,我,84.29,的,85.2
我可有正经事要做,我,85.56,做,86.58
他惊讶地看着我,他,87.32,我,88.29
正经事,正经,89.13,事,89.91
他瞅着我手拿锤子手指沾满了油污伏在一个在他看来丑不可言的机件上,他,90.72,上,96.22
你说话就和那些大人一样,你,96.98,一样,99.51
这话使我有点儿难堪,这,100.58,难堪,102.41
可是他又尖刻无情地说道你什么都分不清,可是,103.2,清,106.23
你把什么都混在一起,你,106.67,一起,107.83
他着实非常恼火,他,108.87,恼火,109.96
摇动着脑袋,摇动,110.33,脑袋,111.08
金黄色的头发随风颤动着,金黄色,111.49,着,113.37
我到过一个星球上面住着一个红脸先生,我,114.39,先生,117.27
他从来没闻过一朵花,他,117.74,花,119.11
他从来没有看过一颗星星,他,119.53,星星,121.42
他什么人也没有喜欢过,他,122.02,过,123.43
除了算账以外他什么也没有做过,除了,123.9,过,126.27
他整天同你一样老是说我有正经事我是个严肃的人,他,126.89,人,131.47
这使他傲气十足,这,132.67,十足,133.84
他简直不像是个人,他,134.21,人,135.31
他是个蘑菇,他,135.64,蘑菇,136.35
是个什么,是,137.11,什么,137.59
是个蘑菇,是,138.23,蘑菇,139.07
小王子当时气得脸色发白,小王子,140.13,白,142.43
几百万年以来花儿都在制造着刺,几百万,143.68,刺,146.43
几百万年以来羊仍然在吃花,几百万,146.8,花,149.26
要搞清楚为什么花儿费那么大劲儿给自己制造没有什么用的刺这难道不是正经事儿,要,149.74,事,155.22
难道羊和花之间的战争不重要,难道,155.87,重要,157.78
这难道不比那个大胖子红脸先生的账目更重要,这,158.49,重要,161.62
如果我认识一朵人世间唯一的花,如果,162.47,花,164.47
只有我的星球上有它别的地方都不存在,只有,164.99,存在,167.6
而一只小羊糊里糊涂就这样把它一下子毁掉了,而,168.14,了,171.23
这难道不重要,这,171.66,重要,172.46
他的脸气得发红然后又接着说道如果有人爱上了在这亿万颗星星中独一无二的一株花当他看着这些星星的时候这就足以使他感到幸福,他,173.95,幸福,186.27
他可以自言自语地说我的那朵花就在其中的一颗星星上,他,186.82,上,191.27
但是如果羊吃掉了这朵花对他来说好像所有的星星一下子全都熄灭了一样,但是,192.18,一样,197.81
这难道也不重要吗,这,198.48,吗,200.03
他无法再说下去了,他,201.42,了,202.63
突然泣不成声,突然,203.46,泣不成声,204.57
夜幕已经降临,夜幕,205.84,降临,206.74
我放下手中的工具,我,207.36,工具,208.39
我把锤子螺钉饥渴死亡全都抛在脑后,我,208.95,后,213.52
在一颗星球上在一颗行星上在我的行星上在地球上有一个小王子需要安慰,在,214.4,安慰,221.35
我把他抱在怀里摇着他对他说你爱的那朵花没有危险,我,222.25,危险,227.28
我给你的小羊画一个罩子,我,227.92,罩子,229.65
我给你的花画一副盔甲,我,230.28,盔甲,232.04
我,我,232.87,我,233.43
我也不太知道该说些什么,我,234.46,什么,235.83
我觉得自己太笨拙,我,236.46,笨拙,237.57
我不知道怎样才能达到他的境界,我,238.09,境界,240.3
怎样才能再进入他的境界,怎样,240.94,境界,242.46
唉泪水的世界是多么神秘啊,唉,243.55,啊,246.91
很快我就进一步了解了这朵花儿,很,247.9,花,250.17
在小王子的星球上过去一直都生长着一些只有一层花瓣的很简单的花,在,250.89,花,256.07
这些花非常小一点儿也不占地方,这些,256.83,地方,259.09
从来也不会去打搅任何人,从来,259.56,人,261.1
它们早晨在草丛中开放晚上就凋谢了,它们,261.82,了,265.27
不知从哪里来了一颗种子,不,266.23,种子,267.88
忽然一天这种子发了芽,忽然,268.42,芽,269.84
小王子特别仔细地监视着这颗与众不同的小苗,小王子,270.46,小苗,273.6
这玩意儿说不定是一种新的猴面包树,这,274.11,猴面包树,276.63
但是这小苗不久就不再长了而且开始孕育着一个花朵,但是,277.37,花朵,282.03
看到在这棵苗上长出了一个很大很大的花蕾小王子感觉到从这个花苞中一定会出现一个奇迹,看到,282.86,奇迹,289.77
然而这朵花儿藏在她那绿茵茵的房间中用了很长的时间来打扮自己,然而,290.69,自己,295.28
她精心选择着她将来的颜色慢慢腾腾地装饰着一片片地搭配着她的花瓣,她,296.07,花瓣,302.17
她不愿像虞美人那样一出世就满脸皱纹,她,302.95,皱纹,305.43
她要让自己带着光艳夺目的丽姿来到世间,她,306.13,世间,309.23
是的她是非常爱俏的,是,309.98,的,311.95
她用好些好些日子天仙般地梳妆打扮然后在一天的早晨恰好在太阳升起的时候她开放了,她,312.52,了,320.68
她已经精细地做了那么长的准备工作却打着哈欠说道我刚刚睡醒,她,321.29,睡醒,327.13
真对不起,真,327.44,对不起,328.13
瞧我的头发还是乱蓬蓬的,瞧,328.61,的,330.65
小王子这时再也控制不住自己的爱慕心情,小王子,331.19,心情,334.41
你是多么美丽呀,你,335.27,呀,336.87
花儿悠然自得地说是吧我是与太阳同时出生的,花,337.61,的,342.52
小王子看出了这花儿不太谦虚可是她确实丽姿动人,小王子,343.49,动人,347.73
她随后又说道现在该是吃早点的时候了吧,她,348.36,吧,352.44
请你也想着给我准备一点,请,353.03,一点,355.14
小王子很有些不好意思于是就拿着喷壶打来了一壶清清的凉水,小王子,355.97,凉水,361.53
他浇灌着花儿,他,362.02,花,362.95
于是就这样这朵花儿就以她那有点敏感多疑的虚荣心折磨着小王子,于是,363.74,小王子,368.99
例如有一天她向小王子讲起她身上长的四根刺,例如,369.66,刺,373.64
老虎让它张着爪子来吧,老虎,374.46,吧,376.72
小王子顶了她一句在我这个星球上没有老虎,小王子,377.48,老虎,381.75
而且老虎是不会吃草的,而且,382.18,的,384.31
花儿轻声说道我并不是草,花,384.84,草,387.57
真对不起,真,388.27,对不起,389.05
我并不怕什么老虎,我,389.84,老虎,391.21
可我讨厌穿堂风,可,391.69,穿堂风,392.75
我猜你没有为我准备个屏风,我,393.31,屏风,395.54
小王子思忖着讨厌穿堂风这对一株植物来说真不走运,小王子,396.05,走运,402.47
这朵花真不大好伺候,这,403.2,伺候,405.19
晚上你得把我放到一个玻璃罩子中,晚上,406.14,中,408.78
你这地方太冷,你,409.27,冷,410.25
我原来住的那个地方,我,410.75,地方,412.2
但她没有说下去,但,413.27,下去,414.43
她来的时候是粒种子,她,415.05,种子,416.44
她哪里见过什么别的世界,她,416.98,世界,418.42
她叫人发现她是在凑一个如此不太高明的谎话,她,418.9,谎话,422.26
她有点儿羞怒,她,422.64,恼怒,423.5
咳嗽了两三声,咳嗽,423.81,声,424.79
她的这一招是要小王子处于有过失的地位,她,425.42,地位,428.29
