tree,first_word,last_word,first_onset,last_offset,duration
i was more isolated than a shipwrecked sailor on a raft in the middle of the ocean, i, ocean,193.62,198.164,4.544
so you can imagine my surprise when at daybreak a funny little voice woke me up, so, up,198.772,203.985,5.213
it said please draw me a sheep, it, sheep,204.758,208.065,3.307
what, what, what,208.623,209.028,0.405
draw me a sheep, draw, sheep,209.901,210.981,1.08
i jumped to my feet as if i had been struck by lightning, i, lightning,212.008,214.702,2.694
i rubbed my eyes, i, eyes,215.037,216.081,1.044
i took a good look around me and i saw a quite extraordinary little man who was examining me seriously, i, seriously,216.66,223.907,7.247
here is the best portrait that later i managed to do of him but my drawing of course is much less charming than its model, here, model,224.735,232.081,7.346
it is not my fault, it, fault,232.549,233.399,0.85
i was discouraged in my career as a painter by the grownups at the age of six and i had not learned to draw anything except boa constrictors closed and open, i, open,233.803,242.214,8.411
i stared at this sudden apparition wide eyed with astonishment, i, astonishment,243.227,247.125,3.898
remember that i was a thousand miles from any inhabited region and yet this little fellow seemed neither lost nor half dead with fatigue nor starved or dying of thirst or fear, remember, fear,247.34,258.43,11.09
he looked nothing like a child lost in the middle of the desert a thousand miles from any inhabited region, he, region,259.448,265.456,6.008
when i finally managed to speak i said what are you doing here, when, here,266.399,270.616,4.217
and he repeated very slowly as if it was something very serious please draw me a sheep, and, sheep,271.279,279.089,7.81
when a mystery is too overpowering one dare not disobey, when, disobey,280.615,284.14,3.525
absurd as it seemed to me a thousand miles from any human habitation and in danger of death i took out of my pocket a sheet of paper and a pen, absurd, pen,284.813,293.804,8.991
but then i remembered that i had mainly studied geography history arithmetic and grammar and i told the little fellow a little crossly that i did not know how to draw, but, draw,294.408,304.697,10.289
he replied it does not matter, he, matter,305.48,307.509,2.029
draw me a sheep, draw, sheep,307.967,308.977,1.01
as i had never drawn a sheep i redrew for him one of the only two drawings that i was capable of, as, of,310.095,315.538,5.443
the one of the closed boa constrictor, the, constrictor,316.011,318.131,2.12
and i was astounded to hear the little fellow respond no no i do not want an elephant inside a boa constrictor, and, constrictor,318.649,326.565,7.916
a boa constrictor is very dangerous and an elephant is very cumbersome, a, cumbersome,326.939,331.712,4.773
where i live everything is very small, where, small,332.126,334.326,2.2
i need a sheep, i, sheep,334.675,335.825,1.15
draw me a sheep, draw, sheep,336.104,337.069,0.965
so i drew, so, drew,337.927,338.596,0.669
he looked carefully then said no this one is already very sick, he, sick,339.584,344.112,4.528
make another one, make, one,344.436,345.326,0.89
i drew again, i, again,346.069,346.899,0.83
my friend smiled gently and indulgently you can see yourself, my, yourself,347.627,352.275,4.648
this is not a sheep, this, sheep,352.275,353.395,1.12
it is a ram, it, ram,353.395,354.345,0.95
it has horns, it, horns,354.679,355.949,1.27
so once again i redid my drawing, so, drawing,356.911,359.081,2.17
but it was rejected like the previous ones, but, ones,359.37,361.869,2.499
this one is too old, this, old,362.562,364.537,1.975
i want a sheep that will live a long time, i, time,364.537,367.036,2.499
so getting impatient as i was eager to start dismantling my engine i hastily sketched this drawing and i snapped this, so, this,368.008,376.513,8.505
here is the box, here, box,376.513,377.473,0.96
the sheep you want is inside, the, inside,377.473,379.032,1.559
but i was very surprised to see the face of my young judge light up, but, up,379.761,383.985,4.224
it is exactly the way i wanted, it, wanted,384.688,386.692,2.004
do you think this sheep needs a lot of grass, do, grass,387.091,389.416,2.325
why, why, why,390.164,390.614,0.45
because where i am from everything is very small, because, small,391.317,393.857,2.54
there will certainly be enough, there, enough,394.645,395.905,1.26
i gave you a very small sheep, i, sheep,396.154,398.153,1.999
he leaned his head towards the drawing, he, drawing,399.111,401.076,1.965
not that small, not, small,401.629,402.784,1.155
look, look, look,403.407,403.967,0.56
he is fallen asleep, he, asleep,404.306,405.515,1.209
and that is how i met the little prince, and, prince,406.348,408.467,2.119
it took me a long time to find out where he came from, it, from,410.046,412.93,2.884
the little prince who asked me many questions never seemed to hear my own, the, own,413.454,417.972,4.518
it was the words spoken by chance that little by little revealed everything to me, it, me,419.004,423.648,4.644
so when he saw my airplane for the first time, so, time,424.491,426.785,2.294
i will not draw my airplane, i, airplane,427.384,428.889,1.505
it would be a drawing far too complicated for me, it, me,428.889,431.392,2.503
he asked me what is that thing there, he, there,431.881,434.449,2.568
it is not a thing, it, thing,435.297,436.062,0.765
it flies, it, flies,436.261,436.956,0.695
it is an airplane, it, airplane,437.156,437.965,0.809
it is my airplane, it, airplane,438.057,438.905,0.848
and i was proud to have him know that i could fly, and, fly,439.608,441.947,2.339
then he cried what you fell from the sky, then, sky,442.82,446.143,3.323
yes i said modestly, yes, modestly,446.821,448.386,1.565
oh that is funny, oh, funny,448.999,450.559,1.56
and the little prince broke into a lovely peal of laughter which irritated me very much, and, much,451.302,456.82,5.518
i prefer people to take my misfortunes seriously, i, seriously,457.403,460.172,2.769
then he added so you also come from the sky, then, sky,460.691,463.935,3.244
what planet are you from, what, from,464.503,465.678,1.175
i caught a glimpse into the mystery of his presence and i asked abruptly so you come from another planet then, i, then,467.045,473.321,6.276
but he did not answer, but, answer,474.124,475.064,0.94
he shook his head slowly whilst looking at my airplane, he, airplane,475.753,478.527,2.774
it is true that you can not have come from far away in that and he drifted into a daydream which lasted a long while, it, while,479.415,486.701,7.286
then taking my sheep out of his pocket he sank himself into the contemplation of his treasure, then, treasure,487.469,492.672,5.203
you can imagine how my curiosity was aroused by this small disclosure about the other planets so i tried to find out more, you, more,493.341,501.342,8.001
where are you from my little fellow, where, fellow,502.34,503.944,1.604
where is this where i live of yours, where, yours,504.628,506.952,2.324
where do you take my sheep off to, where, to,507.396,509.046,1.65
after a reflective silence he answered what is good about the box you have given is that at night he can use it as a house, after, house,510.432,518.352,7.92
that is right and if you are good i will give you a rope to tie him up with during the day and a stake, that, stake,519.061,524.567,5.506
the offer seemed to shock the little prince, the, prince,525.549,527.509,1.96
tie him up, tie, up,527.988,528.762,0.774
what a funny idea, what, idea,529.316,530.566,1.25
but if you do not tie him up he will wander off and get lost, but, lost,531.329,534.118,2.789
my friend broke into another peal of laughter, my, laughter,535.106,537.585,2.479
where do you think he would go, where, go,538.239,539.878,1.639
anywhere straight ahead, anywhere, ahead,540.467,542.056,1.589
then the little prince said gravely that does not matter, then, matter,542.979,546.366,3.387
where i live everything is so small, where, small,546.955,549.04,2.085
and perhaps with a hint of sadness he added straight ahead you can not go far, and, far,549.908,554.63,4.722
i thus learned a second very important thing that his home planet was barely bigger than a house, i, house,0.376,6.973,6.597
it did not surprise me much, it, much,7.671,9.3,1.629
i knew that apart from the large planets like the earth jupiter mars and venus which have been given names there are hundreds of others that are sometimes so small that one has great difficulty in spotting them through the telescope, i, telescope,9.614,22.903,13.289
when an astronomer discovers one of these he gives it a number for a name, when, name,23.826,27.92,4.094
he might call it for example asteroid 325, he,325,28.538,32.097,3.559
i have serious reason to believe that the planet from where the little prince came is the asteroid b 612, i,612,33.269,40.38,7.111
this asteroid has only been seen through a telescope once in 1909 by a turkish astronomer, this, astronomer,40.954,46.987,6.033
he had then given a big presentation on his discovery at an international astronomy conference but nobody had believed him because of his outfit, he, outfit,47.78,56.336,8.556
grownups are like that, grownups, that,56.785,57.899,1.114
fortunately for the reputation of asteroid b 612 a turkish dictator imposed on his people on pain of death to dress themselves in the european fashion, fortunately, fashion,58.747,69.057,10.31
the astronomer gave his presentation again in 1920 dressed very stylishly and this time everybody believed him, the, him,69.9,77.307,7.407
if i have told you these details about the asteroid b 612 and revealed to you its number it is because of the grownups, if, grownups,78.544,85.506,6.962
grownups love numbers, grownups, numbers,85.97,87.254,1.284
when you talk to them about a friend they never ask you about any of the important things, when, things,87.688,91.991,4.303
they never ask you how does his voice sound, they, sound,92.33,94.839,2.509
what games does he like best, what, best,95.073,96.672,1.599
does he collect butterflies, does, butterflies,96.947,98.316,1.369
they ask how old is he, they, he,98.93,100.409,1.479
how many brothers does he have, how, have,100.798,102.028,1.23
how much does he weigh, how, weigh,102.267,103.202,0.935
how much money does his father make, how, make,103.631,105.171,1.54
only then do they think they know him, only, him,105.804,107.864,2.06
if you said to the grownups i saw a beautiful red brick house with geraniums by the windows and doves on the roof they would not be able to picture this house in their minds, if, minds,108.771,119.311,10.54
you would have to tell them i saw a hundred thousand franc house and they would cry how pretty, you, pretty,119.615,125.9,6.285
so if you were to say to them the proof that the little prince existed is that he was charming, so, charming,126.798,132,5.202
he laughed and he wanted a sheep, he, sheep,132.219,133.959,1.74
if someone wants a sheep that proves they exist, if, exist,134.508,137.441,2.933
they would shrug their shoulders and treat you like a child, they, child,137.91,140.699,2.789
but if you were to say the planet he came from is the asteroid b 612 they would be convinced and leave you in peace and spare you their questions, but, questions,141.288,150.489,9.201
they are like that, they, that,150.913,151.667,0.754
do not blame them, do, them,151.862,152.577,0.715
children should be forgiving towards the grownups, children, grownups,153.125,155.409,2.284
but of course those of us who understand life we do not much care for numbers, but, numbers,156.003,160.861,4.858
i would have liked to begin this story in the same way as a fairy tale, i, tale,161.549,164.748,3.199
i would have liked to say once upon a time there was a little prince who lived on a planet not much bigger than himself and who needed a friend, i, friend,165.257,172.913,7.656
for those who understand life it would have seemed much more natural, for, natural,173.566,177.535,3.969
for i do not want my book to be read lightly, for, lightly,178.088,180.287,2.199
i feel so much sadness in recounting these memories, i, memories,180.856,183.71,2.854
it is already been six years since my friend left with his sheep, it, sheep,184.109,187.618,3.509
if i try to describe him here it is so as not to forget him, if, him,188.496,191.875,3.379
it is sad to forget a friend, it, friend,192.548,193.918,1.37
not everyone has had a friend and if i forgot him i could become like the grownups who are only interested in numbers, not, numbers,194.506,201.862,7.356
so that is why i have again bought a box of paints and some pencils, so, pencils,202.765,206.664,3.899
it is hard to take up drawing again at my age when i have only ever attempted to draw a boa constrictor closed and open at the age of six, it, six,207.352,215.033,7.681
i will try of course to make my portraits as lifelike as possible but i am not quite sure i will succeed, i, succeed,215.766,221.783,6.017
some drawings go alright, some, alright,222.441,223.866,1.425
others do not look like their subjects, others, subjects,224.345,226.159,1.814
i also get the size a bit wrong, i, wrong,226.997,228.931,1.934
here the little prince is too big, here, big,229.66,231.374,1.714
there he is too small, there, small,231.668,232.923,1.255
i am also not sure about the color of his outfit so i fumble along somehow as best i can, i, can,233.731,239.708,5.977
i will make mistakes on certain important points too but you will have to forgive me that my friend never gave explanations, i, explanations,240.397,247.987,7.59
perhaps he thought i was just like himself but i unfortunately do not know how to see sheep through boxes, perhaps, boxes,248.491,254.902,6.411
perhaps i am a bit like the grownups, perhaps, grownups,255.531,257.21,1.679
i must have got older, i, older,257.793,258.873,1.08
every day i would learn something about his planet the departure and the trip, every, trip,260.195,264.238,4.043
the information came slowly as his thoughts wandered, the, wandered,265.076,267.981,2.905
it was in this way that on the third day i came to know of the tragedy of the baobabs, it, baobabs,268.804,273.997,5.193
this time again it was thanks to the sheep because the little prince asked me abruptly as if seized by a grave doubt, this, doubt,274.715,281.786,7.071
it is true is not it that sheep eat shrubs, it, shrubs,282.634,285.623,2.989
yes it is true, yes, true,286.262,287.326,1.064
oh i am glad, oh, glad,288.074,288.944,0.87
i did not understand why it was so important that sheep eat shrubs but the little prince added then it follows they also eat baobabs, i, baobabs,289.837,298.307,8.47
i pointed out to the little prince that baobabs were not shrubs but trees as big as churches and that even if he took with him a whole herd of elephants the herd would not manage to eat up one single baobab, i, baobab,299.15,312.453,13.303
the idea of the herd of elephants made the little prince laugh, the, laugh,313.301,316.456,3.155
they would have to be piled up on top of each other, they, other,317.054,319.493,2.439
but he remarked wisely the baobab trees before they grow up start off small, but, small,320.406,325.917,5.511
that is right but why do you want the sheep to eat the little baobabs, that, baobabs,326.636,330.778,4.142
he replied oh come on as if it were obvious and it took me a great mental effort to understand this problem on my own without any help, he, help,331.506,341.03,9.524
and indeed on the planet of the little prince there were like on all planets both good plants and bad plants and therefore both good seeds from good plants and bad seeds from bad plants, and, plants,341.614,354.854,13.24
but seeds are invisible, but, invisible,355.413,356.727,1.314
they sleep secretly deep in the earth until on a whim one of them decides to wake up, they, up,357.281,363.053,5.772
then it elongates and grows timidly at first toward the sun a charming little harmless sprig, then, sprig,363.552,370.199,6.647
if it is a sprig of radish or rose bush you can let it grow as it likes, if, likes,370.897,374.561,3.664
but if it is a bad plant one must pull the plant out straight away as soon as it can be recognised, but, recognised,375.144,381.235,6.091
now there were some terrible seeds on the planet of the little prince, now, prince,382.288,385.607,3.319
there were the seeds of baobab trees, there, trees,386.176,388.505,2.329
the soil of the planet was infested with them, the, them,389.113,391.427,2.314
a baobab if you get to it too late can never be got rid of, a, of,392.27,396.662,4.392
it takes over the entire planet pierces it with its roots, it, roots,397.246,401.433,4.187
and if the planet is too small and if there are too many baobabs they shatter it to pieces, and, pieces,401.782,408.028,6.246
it is a matter of discipline, it, discipline,408.901,410.45,1.549
the little prince told me later, the, later,410.79,412.414,1.624
after grooming oneself in the morning the planet must be carefully groomed, after, groomed,412.858,417.355,4.497
you must see to it that you regularly pull out the baobabs as soon as they can be told apart from the rose bushes to which they look very similar when they are very young, you, young,417.909,426.855,8.946
it is a very boring job but very easy, it, easy,427.583,430.301,2.718
and one day he suggested that i apply myself to making a beautiful drawing so that the children from where i come would understand all this, and, this,431.394,439.331,7.937
if one day they travel he said to me it could come in useful, if, useful,440.09,444.082,3.992
sometimes there is no harm in postponing one 's work but in the case of baobabs that always leads to a catastrophe, sometimes, catastrophe,444.536,451.612,7.076
i used to know a planet inhabited by a lazy man, i, man,452.305,455.37,3.065
he had neglected three little bushes, he, bushes,455.958,458.427,2.469
and based on what the little prince told me i drew this planet, and, planet,459.176,463.063,3.887
i do not like to sound like a moralist but the danger of the baobabs is so little understood and the risks run by anyone who might get lost on an asteroid are so large that for once i am breaking my normal reserve, i, reserve,463.692,476.88,13.188
i say children beware of baobabs, i, baobabs,477.439,480.641,3.202
it is to warn my friends of the danger they have long been skirting like myself without knowing it that i have worked so hard on this drawing, it, drawing,481.395,488.836,7.441
the lesson which i pass on by this means was worth the effort, the, effort,489.61,493.034,3.424
you might be wondering why is it that in this book there are not any other drawings as impressive as the drawing of the baobabs, you, baobabs,493.737,500.369,6.632
the answer is simple, the, simple,500.917,501.902,0.985
i tried but i could not succeed, i, succeed,502.431,504.05,1.619
when i drew the baobabs i was spurred on by a sense of urgency, when, urgency,504.629,508.892,4.263
oh little prince i came to understand gradually in this way your sad life, oh, life,510.065,515.229,5.164
for a long time your only entertainment was the softness of the sunsets, for, sunsets,516.536,521.185,4.649
i learned this new detail on the fourth day in the morning when you said to me i am very fond of sunsets, i, sunsets,521.898,528.635,6.737
let us go and see a sunset now, let, now,528.895,530.604,1.709
but we have to wait, but, wait,531.332,532.492,1.16
wait for what, wait, what,533.29,534.205,0.915
wait until the sun goes down, wait, down,534.983,536.588,1.605
you seemed surprised at first and then you chuckled at yourself and you said i think myself at home still, you, still,537.8,544.357,6.557
indeed when it is noon in the united states the sun everybody knows is setting over france, indeed, france,545.125,551.363,6.238
it would suffice to be able to go to france in one minute to be able to see a sunset, it, sunset,552.126,557.065,4.939
unfortunately france is much too far away but on your tiny planet all you needed was to move your chair a few steps and you watched the twilight falling whenever you liked, unfortunately, liked,557.753,569.293,11.54
one day i saw the sunset forty four times, one, times,570.335,573.075,2.74
and a little later you added you know you love the sunset when you are really sad, and, sad,573.803,579.63,5.827
the day you saw it forty four times were you were really that sad then, the, then,580.712,585.126,4.414
but the little prince made no reply, but, reply,586.019,587.738,1.719
on the fifth day again thanks to the sheep this secret of the little prince 's life was revealed to me, on, me,0.081,5.993,5.912
he asked abruptly without anything leading up to it as if it was the result of a long silent meditation on a problem, he, problem,6.926,14.148,7.222
if a sheep eats shrubs then does it eat flowers too, if, too,15.201,18.909,3.708
a sheep eats everything it finds, a, finds,19.812,21.571,1.759
even flowers that have thorns, even, thorns,22.494,24.379,1.885
yes even flowers that have thorns, yes, thorns,24.963,27.082,2.119
what are the thorns for then, what, then,28.095,29.805,1.71
i did not know the answer, i, answer,30.717,31.907,1.19
i was very busy trying to unscrew a bolt in my engine that had got stuck, i, stuck,32.107,36.261,4.154
i was very worried because my breakdown was beginning to appear to be very serious and i had so little drinking water left that i had to fear the worst, i, worst,36.724,46.015,9.291
what are the thorns for then, what, then,47.112,48.977,1.865
the little prince never let go of a question once he had asked it, the, it,49.79,52.879,3.089
i was upset over the bolt and i said the first thing that came into my head, i, head,53.263,57.707,4.444
the thorns are of no use at all, the, all,58.36,60.125,1.765
flowers have thorns just for spite, flowers, spite,60.339,62.294,1.955
oh, oh, oh,63.301,63.746,0.445
but after a moment of silence he exclaimed with a sort of resentment, but, resentment,65.033,68.562,3.529
i do not believe you, i, you,69.181,70.206,1.025
flowers are weak creatures, flowers, creatures,70.53,72.295,1.765
they are naive, they, naive,72.295,73.164,0.869
they reassure themselves as best they can, they, can,73.364,76.003,2.639
they think themselves frightful with their thorns, they, thorns,76.571,79.16,2.589
i made no reply, i, reply,80.173,81.242,1.069
at that moment i was thinking to myself if this bolt will not budge i will knock it out with a hammer, at, hammer,81.926,87.633,5.707
the little prince interrupted my thoughts again, the, again,88.76,91.055,2.295
and you actually believe that flowers, and, flowers,91.938,94.183,2.245
no no i do not believe it at all, no, all,94.183,96.672,2.489
i answered the first thing that came to my mind, i, mind,97.11,99.575,2.465
i myself am busy with matters of consequence, i, consequence,100.029,102.823,2.794
he looked at me dumbfounded, he, dumbfounded,103.611,105.211,1.6
matters of consequence, matters, consequence,105.784,107.419,1.635
he watched me hammer in hand and my fingers black with grease leaning on an object that would have seemed to him very ugly, he, ugly,108.122,115.244,7.122
you talk just like the grownups, you, grownups,115.932,117.687,1.755
that made me feel a little ashamed but he went on relentlessly, that, relentlessly,118.4,122.253,3.853
you confuse everything, you, everything,122.976,124.261,1.285
you mix everything up, you, up,124.595,125.825,1.23
he was really very angry, he, angry,126.418,127.973,1.555
he shook his golden curls in the breeze, he, breeze,128.232,130.627,2.395
i know a planet where there is a redfaced gentleman, i, gentleman,131.529,134.293,2.764
he has never smelled a flower, he, flower,134.488,136.068,1.58
he has never looked at a star, he, star,136.312,137.637,1.325
he has never loved anyone, he, anyone,137.865,139.376,1.511
he has never done anything but sums and all day long he repeats just like you, he, you,139.77,144.665,4.895
i am busy with matters of consequence, i, consequence,144.927,147.177,2.25
and that makes him swell up with pride, and, pride,147.397,149.426,2.029
but this is not a man, but, man,149.855,151,1.145
he is a mushroom, he, mushroom,151,152.259,1.259
a what, a, what,152.843,153.398,0.555
a mushroom, a, mushroom,153.752,154.662,0.91
the little prince was now white with rage, the, rage,155.24,157.644,2.404
flowers have been growing thorns for millions of years, flowers, years,158.562,161.572,3.01
for millions of years the sheep have eaten the flowers all the same, for, same,161.896,165.345,3.449
and it is not a matter of consequence to try to understand why they take so much trouble to grow thorns which are never of any use, and, use,165.759,172.703,6.944
is the war between the flowers and sheep not important, is, important,173.356,176.315,2.959
is it not of more consequence and more important than the sums of a fat redfaced gentleman, is, gentleman,176.63,181.843,5.213
and if i myself know of a unique flower which grows nowhere but on my planet that a little sheep can destroy in one stroke just like that one morning without realising what he is done, and, done,182.202,193.057,10.855
is that not important, is, important,193.057,194.999,1.942
he blushed and continued, he, continued,195.582,197.011,1.429
if someone loves a flower of which just one specimen exists amongst the millions and millions of stars it is enough to make him happy when he looks at them, if, them,197.854,206.512,8.658
he can say my flower is out there somewhere, he, somewhere,206.886,209.67,2.784
but if the sheep eats the flower for him it is as if suddenly all the stars have gone out, but, out,210.249,215.153,4.904
and you think that is not important, and, important,215.542,217.191,1.649
he could not say anything more, he, more,218.089,219.399,1.31
he suddenly burst into tears, he, tears,219.983,221.817,1.834
night had fallen, night, fallen,222.555,223.555,1
i had put down my tools of what moment was my hammer my bolt or thirst or death, i, death,224.548,230.72,6.172
there was on a star on a planet my planet earth a little prince to be comforted, there, comforted,231.538,237.489,5.951
i took him in my arms, i, arms,238.242,239.587,1.345
i rocked him, i, him,239.831,240.531,0.7
i said the flower that you love is not in danger, i, danger,240.795,244.238,3.443
i will draw you a muzzle for your sheep, i, sheep,244.822,246.937,2.115
i will draw you a railing for your flower, i, flower,246.937,249.107,2.17
i,,,,,0
i,,,,,0
i was not sure what to say, i, say,249.107,251.568,2.461
i felt very awkward, i, awkward,252.436,253.761,1.325
i did not know how to reach him where to find him, i, him,254.289,256.684,2.395
it is so secretive the land of tears, it, tears,257.457,259.741,2.284
i learned very quickly to know this flower better, i, better,260.835,263.734,2.899
there had always been very simple flowers on the planet of the little prince decorated with a single row of petals that did not take up any space and did not bother anyone, there, anyone,264.413,274.694,10.281
they would appear one morning in the grass and by evening they would have faded away, they, away,275.252,279.936,4.684
but this one had sprouted one day from a seed blown in from no one knows where and the little prince had watched very closely this sprout that was not like the other sprouts, but, sprouts,280.774,291.099,10.325
it could have been a new kind of baobab, it, baobab,291.648,293.522,1.874
but the shrub soon stopped growing and began to produce a flower, but, flower,294.295,298.623,4.328
the little prince who witnessed the appearance of a huge bud felt that a miraculous apparition must emerge from it, the, it,299.506,306.853,7.347
but the flower never stopped preparing for her future beauty, but, beauty,307.496,310.771,3.275
safe in her green chamber she chose her colors carefully, safe, carefully,310.771,314.948,4.177
she dressed slowly, she, slowly,315.247,316.442,1.195
she arranged her petals one by one, she, one,316.661,319.371,2.71
she did not want to come out all rumpled like the poppies, she, poppies,319.68,323.223,3.543
she would only want to appear in the full radiance of her beauty, she, beauty,323.627,327.691,4.064
oh yes she was a very flirtatious creature, oh, creature,328.244,331.533,3.289
and her mysterious adornment had thus lasted for days and days, and, days,332.106,336.984,4.878
then one morning exactly at sunrise she suddenly showed herself, then, herself,337.638,342.766,5.128
and after having worked with such care and attention to detail she said with a yawn oh i have only just woken up, and, up,343.314,352.129,8.815
i do apologize, i, apologize,352.433,353.608,1.175
i am not yet presentable, i, presentable,353.608,354.922,1.314
the little prince could not restrain his admiration, the, admiration,355.88,358.444,2.564
you are so beautiful, you, beautiful,359.228,360.702,1.474
am i not, am, not,361.356,362.315,0.959
the flower responded sweetly, the, sweetly,362.55,364.419,1.869
and i was born at the same moment as the sun, and, sun,365.132,367.547,2.415
the little prince guessed easily enough that she was not very modest, the, modest,368.579,372.363,3.784
but how moving she was, but, was,372.782,374.552,1.77
it is time i think for breakfast, it, breakfast,375.645,377.89,2.245
she added an instant later, she, later,377.89,379.533,1.643
if you would have the kindness to think of my needs, if, needs,380.302,382.886,2.584
and the little prince completely abashed having gone to look for a sprinkling can of fresh water tended to the flower, and, flower,383.589,390.985,7.396
and like that she had soon begun to torment him with her vanity, and, vanity,391.494,395.592,4.098
one day for example speaking of her four thorns she told the little prince let them come the tigers with their claws, one, claws,396.241,404.247,8.006
there are not any tigers on my planet, there, planet,404.955,407,2.045
the little prince objected, the, objected,407.264,408.573,1.309
and tigers do not eat weeds, and, weeds,408.763,410.782,2.019
i am not a weed, i, weed,411.475,412.655,1.18
the flower replied sweetly, the, sweetly,412.939,414.563,1.624
please forgive me, please, me,415.147,415.997,0.85
i do not fear tigers but i detest drafts, i, drafts,416.909,420.677,3.768
you would not happen to have a screen, you, screen,420.886,422.71,1.824
detests drafts, detests, drafts,423.478,424.903,1.425
that is bad luck for a plant, that, plant,425.167,426.881,1.714
remarked the little prince, remarked, prince,427.245,428.415,1.17
what a very complicated flower, what, flower,429.028,430.748,1.72
in the evening you will put me under a glass dome, in, dome,431.775,434.78,3.005
it is very cold where you live, it, live,434.78,436.663,1.883
where i come from, where, from,436.962,438.357,1.395
but she interrupted herself, but, herself,439.085,440.565,1.48
she had come in the form of a seed, she, seed,440.914,442.889,1.975
she could not have known anything of other worlds, she, worlds,443.169,445.387,2.218
humiliated at having been caught out on a lie so naive she coughed two or three times to imply the little prince was in the wrong, humiliated, wrong,446.295,454.747,8.452
the screen, the, screen,455.366,456.071,0.705
i was just going to look for it when you spoke to me, i, me,456.934,459.158,2.224
then she forced a cough to inflict still more remorse, then, remorse,460.011,463.27,3.259
so the little prince despite the good will of his love had soon come to doubt her, so, her,463.908,468.771,4.863
he had taken seriously words of no importance and had become very unhappy, he, unhappy,469.305,474.428,5.123
i should not have listened to her, i, her,475.326,476.815,1.489
he told me one day, he, day,477.09,478.13,1.04
you should never listen to the flowers, you, flowers,478.683,480.653,1.97
we must look at them and breathe their fragrance, we, fragrance,481.037,483.86,2.823
mine perfumed my whole planet but i did not know how to take pleasure in it, mine, it,484.394,488.967,4.573
this business of the claws which annoyed me so much should only have filled my heart with tenderness and pity, this, pity,489.705,495.767,6.062
he continued his confidences, he, confidences,496.725,498.43,1.705
i did not know how to understand, i, understand,499.148,500.988,1.84
i should have her judged by her deeds and not by her words, i, words,501.531,504.645,3.114
she overwhelmed me with her fragrance and light, she, light,505.264,507.688,2.424
i should never have run away, i, away,508.287,509.527,1.24
i should have seen the tenderness behind her contrivances, i, contrivances,510.29,513.094,2.804
flowers are so contradictory, flowers, contradictory,513.818,515.512,1.694
but i was too young to know how to love her, but, her,516.12,518.15,2.03
i think that for his escape he took advantage of a migration of a flock of wild birds, i, birds,519.665,525.082,5.417
