,first_word,first_onset,last_word,last_offset
(S (NP (PRP 他们)) (VP (VV 回答) (NP (PRP 我)) (VP (VV 说) (S (S (VP (VV 害怕))) (S (S (NP (QP (CD 一) (CLP (M 顶))) (NP (NN 帽子))) (VP (VE 有) (VP (NP (NN 什么)) (VP (VV 可怕))))) (DEC 的)))))),他们,44.89,的,49.6
(S (NP (S (S (NP (PRP 我)) (VP (VA 画))) (DEC 的))) (VP (VP (ADVP (AD 不)) (VP (VC 是) (NP (NN 帽子)))) (VP (VP (VC 是) (NP (QP (CD 一) (CLP (M 条))) (NP (NN 巨蟒)))) (VP (PP (P 在) (NP (NN 消化))) (VP (VV 着) (NP (QP (CD 一) (CLP (M 头))) (NP (NN 大象)))))))) ,我,50.55,大象,54.39
(S (S (ADVP (CS 既然)) (S (NP (NN 大人们)) (VP (ADVP (AD 不)) (VP (VV 能够) (VP (VV 理解) (NP (S (S (ADVP (AD 于是)) (NP (PRP 我)) (VP (ADVP (AD 又)) (VP (BA 把) (S (NP (DNP (LCP (NP (NN 巨蟒) (NN 肚子)) (LC 里)) (DEG 的)) (NP (NN 情况))) (VP (VP (VV 画) (AS 了) (VV 出来)) (VP (ADVP (AD 以便)) (VP (VV 让) (NP (NN 大人们)) (S (VP (VV 能够))))))))))))))))) (VP (VCD (VV 看) (VV 懂)))) ,既然,55.23,懂,61.97
(S (NP (DP (DT 这些)) (NP (NN 大人))) (VP (ADVP (AD 总是)) (VP (VV 需要) (NP (NN 解释))))) ,这些,62.7,解释,64.53
(S (NP (DNP (NP (PRP 我)) (DEG 的)) (QP (OD 第二) (CLP (M 号))) (NP (NN 作品))) (VP (VC 是) (DNP (ADJP (JJ 这样)) (DEG 的)))) ,我,65.66,的,67.56
(S (NP (NR 大人们)) (VP (VP (VV 劝) (S (NP (PRP 我)) (VP (BA 把) (S (NP (DP (DT 这些)) (S (S (VP (VV 画) (AS 着) (NP (NP (S (S (VP (VV 开) (AS 着) (NP (NN 肚皮)))) (DEC 的))) (CC 或) (NP (DNP (NP (LCP (NP (NN 闭)) (LC 上)) (NP (NN 肚皮))) (DEG 的)) (NP (NN 蟒蛇)))))) (DEC 的)) (NP (NN 图画))) (VP (VV 放在) (QP (CD 一边))))))) (CC 还是) (VP (BA 把) (S (NP (NN 兴趣)) (VP (VV 放) (PP (P 在) (LCP (NP (NN 地理) (NN 历史) (NN 算术) (NN 语法)) (LC 上)))))))) ,大人们,68.75,上,77.91
(S (ADVP (AD 就)) (PP (ADVP (AD 这样)) (PP (P 在) (NP (DNP (QP (CD 六) (CLP (M 岁))) (DEG 的)) (DP (DT 那)) (NP (NN 年))))) (NP (PRP 我)) (VP (ADVP (AD 就)) (VP (VV 放弃) (AS 了) (NP (DNP (PP (P 当) (NP (NP (NN 画家)) (DP (DT 这) (QP (CD 一))) (NP (NN 美好)))) (DEG 的)) (NP (NN 职业)))))) ,就,78.76,职业,83.63
(S (NP (DNP (NP (PRP 我)) (DEG 的)) (QP (OD 第一) (CLP (M 号))) (DNP (NP (QP (OD 第二) (CLP (M 号))) (NP (NN 作品))) (DEG 的)) (NP (NN 不) (NN 成功))) (VP (VV 使) (NP (PRP 我)) (S (VP (VV 泄) (AS 了) (NP (NN 气)))))) ,我,84.36,气,87.82
(S (NP (DP (DT 这些)) (NP (NN 大人们))) (VP (VP (VP (VV 靠) (NP (PRP 他们) (PRP 自己))) (S (NP (PRP 什么)) (VP (ADVP (AD 也)) (VP (VV 弄) (VP (ADVP (AD 不)) (VV 懂)))))) (S (VP (ADVP (AD 还)) (VP (VV 得) (VP (ADVP (AD 老)) (VP (VC 是) (VP (DVP (VP (ADVP (AD 不)) (VP (VA 断))) (DEV 地)) (VP (PP (P 给) (NP (PRP 他们))) (VP (VV 做) (VP (VV 解释)))))))))))),这些,88.64,解释,93.93
(S (ADVP (AD 后来)) (NP (PRP 我)) (VP (ADVP (AD 只好)) (VP (VV 选择) (AS 了) (NP (QP (ADVP (AD 另外)) (QP (CD 一) (CLP (M 个)))) (NP (NN 职业)))))) ,后来,95.05,职业,97.63
(S (NP (PRP 我)) (VP (VP (VV 学会) (AS 了)) (VP (VV 开) (NP (NN 飞机))))) ,我,98.24,飞机,99.46
(S (NP (NP (NN 世界)) (DP (DT 各)) (NP (NN 地))) (VP (ADVP (AD 差不多)) (ADVP (AD 都)) (VP (VP (VV 飞)) (VP (VV 到) (AS 过))))) ,世界,100.07,过,101.71
(S (ADVP (AD 的确)) (NP (NN 地理学)) (VP (VV 帮) (AS 了) (S (NP (PRP 我)) (VP (DVP (VP (ADVP (AD 很)) (VP (VA 大))) (DEV 的)) (VP (VA 忙)))))) ,的确,102.28,忙,104.78
(S (NP (PRP 我)) (VP (ADVP (AD 一眼)) (ADVP (AD 就)) (VP (VV 能) (VP (VRD (VV 分辨) (VV 出)) (NP (NP (NR 中国)) (CC 和) (NP (NN 亚利桑那))))))) ,我,105.35,亚利桑那,107.7
(S (S (NP (NN 要是)) (VP (ADVP (AD 夜里)) (VP (VV 迷失) (AS 了) (NP (NN 航向))))) (NP (PRP 这)) (VP (VC 是) (NP (S (S (VP (ADVP (AD 很)) (VP (VE 有) (NP (NN 用))))) (DEC 的))))) ,要是,108.41,的,110.7
(S (ADVP (AD 这样)) (PP (P 在) (LCP (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 生活))) (LC 中))) (S (NP (PRP 我)) (PP (P 跟) (S (VP (QP (CD 许多))))) (NP (DNP (ADJP (JJ 严肃)) (DEG 的)) (NP (NN 人))) (VP (VE 有) (AS 过) (NP (DNP (QP (CD 很多)) (DEG 的)) (NP (NN 接触)))))) ,这样,111.58,接触,115.83
(S (NP (PRP 我)) (VP (PP (P 在) (LCP (NP (NN 大人们)) (LC 中间))) (VP (VP (VV 生活) (AS 过)) (NP (ADJP (ADVP (AD 很)) (JJ 长)) (NN 时间))))) ,我,116.45,时间,118.51
(S (S (NP (PRP 我)) (VP (ADVP (AD 仔细) (DEV 地)) (VP (VP (VV 观察) (AS 过)) (NP (PRP 他们))))) (CC 但) (S (NP (PRP 这)) (VP (ADVP (AD 并)) (VP (VV 没有) (VP (VV 使) (S (NP (PRP 我)) (VP (PP (P 对) (NP (DNP (NP (PRP 他们)) (DEG 的)) (NP (NN 看法)))) (VP (VE 有) (NP (ADJP (ADVP (AD 多)) (ADJP (JJ 大) (DEC 的))) (NP (NN 改变))))))))))) ,我,119.25,改变,124.18
(S (PP (P 当) (LCP (S (NP (PRP 我)) (VP (VV 遇到) (NP (QP (CD 一) (CLP (M 个))) (NP (NP (NN 头脑)) (VP (VV 看来) (NP (ADJP (ADVP (AD 稍微)) (ADJP (JJ 清楚) (DEG 的))) (NP (NN 大人)))))))) (LC 时))) (S (NP (PRP 我)) (VP (ADVP (AD 就)) (VP (VP (VV 拿出) (NP (S (VP (ADVP (AD 一直)) (VP (VV 保存) (AS 着))) (DEC 的)) (NP (PRP 我) (NP (PRP 那) (NP (QP (OD 第一) (CLP (M 号))) (NP (NN 作品))))))) (VP (MSP 来) (VP (VP (VV 测试) (VV 测试)) (NP (PRP 他)))))))),当,124.92,他,132.24
(S (S (NP (PRP 我)) (VP (VV 想) (VP (VV 知道) (S (NP (PRP 他)) (VP (ADVP (AD 是否)) (VP (ADVP (AD 真的)) (VP (VE 有) (NP (NN 理解) (NN 能力))))))))) (CC 可是) (S (NP (S (VP (VV 得到)) (DEC 的)) (NP (NN 回答))) (VP (ADVP (AD 总)) (VP (VC 是) (S (NP (PRP 这)) (VP (VC 是) (NP (CLP (M 顶)) (NP (NN 帽子))))))))),我,133.03,帽子,139.44
(S (NP (PRP 我)) (VP (ADVP (AD 就)) (VP (ADVP (AD 不)) (VP (PP (P 和) (NP (PRP 他))) (VP (VV 谈) (NP (DNP (NP (NP (NP (NP (NN 巨蟒)) (SP 呀)) (NP (NP (ADJP (JJ 原始)) (NP (NN 森林))) (SP 呀)) (CC 或者) (NP (NN 星星))) (ETC 之类)) (DEG 的)) (NP (NN 事儿)))))))),我,140.38,事,144.33
(S (NP (PRP 我)) (VP (VP (VV 只得) (VP (VV 迁就) (NP (DNP (NP (PRP 他)) (DEG 的)) (NP (NN 水平))))) (S (PP (P 和) (NP (PRP 他们))) (VP (VV 谈) (NP (QP (CD 些)) (NP (NP (NP (NP (NN 桥牌)) (SP 呀)) (NP (NP (NN 高尔夫球)) (SP 呀)) (NP (NP (NN 政治)) (SP 呀)) (NP (NP (NN 领带)) (SP 呀))) (ETC 这些))))))),我,144.86,这些,150.76
(S (ADVP (AD 于是)) (NP (NR 大人们)) (VP (ADVP (AD 就)) (ADVP (AD 十分)) (VP (VV 高兴) (S (VP (VV 能) (VP (VV 认识) (NP (DNP (NP (NP (PRP 我)) (QP (ADVP (AD 这样)) (QP (CD 一) (CLP (M 个)))) (NP (NN 通情达理))) (DEG 的)) (NP (NN 人))))))))) ,于是,151.64,人,156.02
(S (NP (PRP 我)) (VP (ADVP (AD 就)) (DVP (VP (ADVP (AD 这样)) (VP (VA 孤独))) (DEV 地)) (VP (VV 生活) (AS 着)))) ,我,157.26,着,158.86
(S (VP (VE 没有) (NP (QP (CD 一) (CLP (M 个))) (S (S (VP (VV 能) (VP (ADVP (AD 真正)) (VP (VPT (VV 谈) (DER 得) (VV 来)))))) (DEC 的)) (NP (NN 人))))) ,没有,159.59,人,161.18
(S (PP (ADVP (AD 一直)) (PP (P 到) (LCP (QP (CD 六) (CLP (M 年))) (LC 前)))) (VP (PP (P 在) (LCP (NP (NN 撒哈拉) (NN 沙漠)) (LC 上))) (VP (VV 发生) (AS 了) (NP (DP (DT 那) (CLP (M 次))) (NP (NN 故障)))))) ,一直,161.77,故障,165.43
(S (LCP (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 发动机))) (LC 里)) (VP (VP (VE 有) (NP (CLP (M 个)) (NP (NN 东西)))) (VP (VV 损坏) (AS 了)))) ,我,166.13,了,167.98
(S (NP (NT 当时)) (PP (P 由于) (S (NP (PRP 我)) (VP (CC 既) (VP (VE 没有) (NP (NN 带) (NN 机械师))) (CC 也) (VP (VV 没有) (VP (VV 带) (NP (NN 旅客))))))) (NP (PRP 我)) (VP (ADVP (AD 就)) (VP (VV 试图) (S (VP (ADVP (AD 独自)) (VP (VV 完成) (NP (DNP (NP (NN 这个) (NN 困难)) (DEG 的)) (S (VP (VV 维修))) (NP (NN 工作))))))))) ,当时,168.75,工作,175.31
(S (NP (PRP 这)) (VP (PP (P 对) (NP (PRP 我))) (ADVP (AD 来说)) (VP (VC 是) (NP (CLP (M 个)) (S (S (VP (VV 生) (CC 与) (VV 死))) (DEC 的)) (NP (NN 问题)))))) ,这,176.16,问题,178.56
(S (NP (S (S (NP (PRP 我)) (VP (ADVP (AD 随身)) (VP (VV 带)))) (DEC 的)) (NP (NN 水))) (VP (ADVP (AD 只)) (VP (VV 够) (S (VP (VV 饮用) (NP (QP (CD 一)) (NP (NN 星期)))))))) ,我,179.25,星期,181.7
(S (QP (OD 第一) (CLP (M 天))) (NP (NT 晚上)) (NP (PRP 我)) (VP (ADVP (AD 就)) (VP (VV 睡) (PP (P 在) (LCP (NP (DNP (NP (NP (DP (DT 这) (QP (CD 远离))) (NP (NN 人间))) (NP (NN 烟火))) (DEG 的)) (ADJP (JJ 大)) (NP (NN 沙漠))) (LC 上)))))) ,第一,182.6,上,186.15
(S (NP (PRP 我)) (VP (VP (PP (P 比) (LCP (NP (NN 大海)) (LC 中))) (VP (VV 伏) (NP (DNP (PP (P 在) (LCP (NP (ADJP (JJ 小)) (NP (NN 木排))) (LC 上))) (DEG 的)) (NP (NN 遇难者))))) (VP (ADVP (AD 还)) (VP (VV 要))) (VP (VA 孤独) (DER 得) (VP (VA 多))))) ,我,186.83,多,190.54
(S (S (ADVP (AD 而)) (VP (PP (P 在) (NP (QP (OD 第二) (CLP (M 天))) (NP (NN 拂晓)))) (PP (P 当) (NP (DNP (NP (QP (CD 一) (CLP (M 个))) (NP (NN 奇怪))) (DEG 的)) (ADJP (JJ 小)) (NP (NN 声音)))) (VP (VV 叫醒) (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 时候)))))) (S (NP (PRP 你们)) (VP (VRD (VV 可以) (VV 想见)) (S (NP (PRP 我)) (VP (NP (NT 当时)) (VP (VC 是) (NP (NN 多么) (NN 吃惊)))))))) ,而,191.57,吃惊,198.41
(S (S (NP (PRP 这)) (NP (DNP (ADJP (JJ 小小)) (DEG 的)) (NP (NN 声音))) (VP (VP (VV 说道) (S (VP (VV 请) (NP (PRP 你)) (S (VP (PP (P 给) (NP (PRP 我))) (VP (VV 画) (NP (QP (CD 一) (CLP (M 只))) (NP (NN 羊))))))))) (VP (VA 好)))) (SP 吗)) ,这,199.34,吗,203.43
(S (VP (VA 啊))) ,啊,204.3,啊,204.58
(S (VP (PP (P 给) (NP (PRP 我))) (VP (VV 画) (NP (QP (CD 一) (CLP (M 只))) (NP (NN 羊)))))) ,给,205.46,羊,206.44
(S (NP (PRP 我)) (VP (VV 像) (S (S (VP (VC 是) (S (VP (VV 受到) (NP (NN 惊雷) (NN 轰击)))))) (VP (ADVP (AD 一般)) (ADVP (AD 一下子)) (ADVP (AD 就)) (VP (VCD (VV 站立) (VV 起来))))))) ,我,207.46,起来,210.66
(S (NP (PRP 我)) (VP (DVP (VP (VA 使劲)) (DEV 地)) (VP (VV 揉) (AS 了) (S (NP (NN 揉) (NN 眼睛)) (VP (ADVP (AD 仔细)) (PP (NP (NN 地))) (VP (VV 看) (AS 了) (VV 看))))))) ,我,211.5,看,213.88
(S (S (NP (PRP 我)) (VP (VV 看见) (NP (QP (CD 一个)) (S (S (VP (ADVP (AD 十分)) (VP (VA 奇怪)))) (DEC 的)) (NP (NN 小家伙))))) (S (NP (ADJP (JJ 严肃)) (NP (NN 地))) (VP (PP (P 朝) (NP (PRP 我))) (ADVP (AD 凝眸)) (VP (VV 望) (AS 着))))) ,我,214.44,着,218.33
(S (NP (PRP 这)) (VP (VC 是) (NP (S (S (ADVP (AD 后来)) (S (NP (PRP 我)) (VP (PP (P 给) (NP (PRP 他))) (VP (VV 画) (MSP 出来))))) (DEC 的)) (NP (ADJP (ADVP (AD 最)) (ADJP (JJ 好) (DEC 的))) (NP (QP (CD 一) (CLP (M 幅))) (NP (NN 画像))))))) ,这,219.26,画像,222.14
(S (ADVP (AD 可是)) (S (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 画))) (VP (ADVP (AD 当然)) (VP (VV 要) (VP (PP (P 比) (NP (DNP (NP (PRP 他) (PRP 本人)) (DEG 的)) (NP (NN 模样)))) (VP (VV 逊色) (DER 得) (ADVP (AD 多)))))))) ,可是,223.24,多,227.34
(S (NP (PRP 这)) (VP (VC 不是) (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 过错))))) ,这,228.05,过错,229.17
(S (LCP (QP (CD 六) (CLP (M 岁))) (LC 时)) (NP (NN 大人们)) (VP (VV 使) (NP (PRP 我)) (S (VP (PP (P 对) (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 画家) (NN 生涯)))) (VP (VV 失去) (AS 了) (NP (NN 勇气))))))) ,六,230.47,勇气,234.35
(S (NP (S (S (VP (PP (P 除了) (NP (NN 画))) (ADVP (AD 过)) (VP (VP (VV 开) (AS 着) (NP (NN 肚皮))) (CC 和) (VP (VV 闭) (AS 着) (NP (NN 肚皮)))))) (DEC 的)) (NP (NN 蟒蛇))) (VP (ADVP (AD 后来)) (ADVP (AD 再)) (VP (VV 没有) (VP (VV 学) (AS 过) (NP (NN 画)))))) ,除了,235.03,画,238.96
(S (NP (PRP 我)) (VP (DVP (VP (VA 惊奇)) (DEV 地)) (VP (VP (VRD (VV 睁) (VA 大)) (AS 着) (NP (NN 眼睛))) (VP (VV 看) (AS 着) (NP (S (S (NP (PRP 这)) (VP (ADVP (AD 突然)) (VP (VV 出现)))) (DEC 的)) (NP (NN 小家伙))))))) ,我,239.57,小家伙,243.49
(S (S (NP (PRP 你们)) (VP (ADVP (AD 不要)) (VP (VV 忘记)))) (S (NP (PRP 我)) (VP (NP (NT 当时)) (VP (VV 处) (NP (S (S (VP (PP (P 在) (NP (NR 远离))) (VP (VV 人烟) (LCP (QP (CD 千) (CLP (M 里))) (LC 之外))))) (DEC 的)) (NP (NN 地方))))))) ,你们,244.15,地方,248.43
(S (ADVP (AD 而)) (S (NP (S (S (NP (DP (DT 这个)) (NP (NN 小家伙))) (VP (VV 给) (NP (PRP 我)))) (DEC 的)) (NP (NN 印象))) (VP (VC 是) (S (NP (PRP 他)) (VP (VP (CS 既) (VP (ADVP (AD 不)) (VP (VV 像) (NP (S (VP (VP (VV 迷) (AS 了)) (NP (NN 路))) (DEC 的)) (NP (NN 样子)))))) (VP (ADVP (AD 也)) (VP (VE 没有) (NP (ADJP (JJ 半点)) (NP (S (VP (VA 疲乏) (VA 饥渴) (VA 惧怕)) (DEC 的)) (NP (NN 神情))))))))))),而,248.87,神情,256.59
(S (NP (PRP 他)) (VP (ADVP (AD 丝毫)) (VP (ADVP (AD 不)) (VP (VV 像) (VP (VC 是) (NP (QP (CD 一) (CLP (M 个))) (NP (S (VP (VV 迷失) (PP (P 在) (LCP (NP (ADJP (JJ 旷无人烟) (DEG 的)) (NP (ADJP (JJ 大)) (NP (NN 沙漠)))) (LC 中)))) (DEC 的)) (NP (NN 孩子))))))))),他,257.35,孩子,261.36
(S (PP (P 当) (NP (S (S (NP (PRP 我)) (VP (PP (P 在) (LCP (DNP (NN 惊讶) (DEG 之)) (LC 中))) (VP (ADVP (AD 终于)) (VP (ADVP (AD 又)) (VP (VV 能) (VP (VP (VP (VV 说) (MSP 出)) (NP (NN 话))) (MSP 来))))))) (DEC 的)) (NP (NN 时候)))) (VP (VP (PP (P 对) (NP (PRP 他))) (VP (VV 说道))) (S (IJ 唉) (S (NP (PRP 你)) (VP (PP (P 在) (NP (PRP 这儿))) (VP (VV 干) (NP (PRP 什么)))))))),当,262.08,什么,268.91
(S (ADVP (AD 可是)) (S (NP (PRP 他)) (VP (ADVP (AD 却)) (VP (ADVP (ADVP (AD 不慌不忙) (DEV 地)) (ADVP (VP (VV 好像) (VP (VE 有) (NP (QP (CD 一) (CLP (M 件))) (NP (ADJP (JJ 重要) (DEC 的)) (NP (NN 事)))))) (AD 一般))) (VP (VP (PP (P 对) (NP (PRP 我))) (VP (ADVP (AD 重复) (DEV 地)) (VV 说道))) (VP (VV 请) (VP (PP (P 给) (NP (PRP 我))) (VP (VV 画) (NP (QP (CD 一) (CLP (M 只))) (NP (NN 羊))))))))))) ,可是,269.84,羊,277.5
(S (PP (P 当) (NP (S (S (NP (QP (CD 一) (CLP (M 种))) (S (S (VP (VA 神秘))) (DEC 的)) (NP (NN 东西))) (VP (BA 把) (S (NP (PRP 你)) (VP (VV 镇住))))) (DEC 的)) (NP (NN 时候)))) (NP (PRP 你)) (VP (VC 是) (NP (S (S (VP (ADVP (AD 不)) (ADVP (AD 敢)) (ADVP (AD 不)) (VP (VV 听从) (NP (DNP (NP (PRP 它)) (DEG 的)) (NP (NN 支配)))))) (DEC 的))))) ,当,278.43,的,283.25
(S (LCP (NP (S (S (VP (PP (P 在) (LCP (NP (DNP (NP (DP (DT 这)) (NP (NN 旷无人烟))) (DEG 的)) (NP (NN 沙漠))) (LC 上))) (VP (VV 面临) (NP (S (S (VP (VV 死亡))) (DEC 的)) (NP (NN 危险)))))) (DEC 的)) (NP (NN 情况))) (LC 下)) (S (ADVP (CS 尽管)) (S (NP (DNP (NP (PRP 这样)) (DEG 的)) (NP (NN 举动))) (VP (VV 使) (NP (PRP 我)) (S (VP (VV 感到) (S (VP (ADVP (AD 十分)) (VP (VA 荒诞))))))))) (NP (PRP 我)) (VP (ADVP (AD 还是)) (VP (VP (VV 掏)) (VP (VV 出) (AS 了) (NP (NP (QP (CD 一) (CLP (M 张))) (NP (NN 纸))) (CC 和) (NP (QP (CD 一) (CLP (M 支))) (NP (NN 钢笔)))))))) ,在,284.03,钢笔,293.68
(S (S (ADVP (AD 这时)) (S (NP (PRP 我)) (VP (ADVP (AD 却)) (VP (ADVP (AD 又)) (VP (VP (VV 记) (MSP 起)) (S (NP (PRP 我)) (VP (ADVP (AD 只)) (VP (VP (VV 学) (AS 过)) (NP (NP (NN 地理)) (NP (NN 历史)) (NP (NN 算术)) (CC 和) (NP (NN 语法))))))))))) (S (ADVP (AD 就)) (VP (VP (ADVP (AD 有点)) (VP (ADVP (AD 不)) (VP (ADVP (AD 大)) (VP (ADVP (AD 高兴) (DEV 地)) (VP (PP (P 对) (NP (NN 小家伙))) (VV 说)))))) (S (NP (PRP 我)) (VP (ADVP (AD 不)) (VP (VV 会) (VP (VV 画画)))))))) ,这时,294.48,画画,303.94
(S (NP (PRP 他)) (VP (VP (VP (VV 回答) (NP (PRP 我))) (VV 说)) (S (VP (VP (VE 没有) (NP (NN 关系))) (VP (PP (P 给) (NP (PRP 我))) (VP (VV 画) (NP (QP (CD 一) (CLP (M 只))) (NP (NN 羊)))))) (SP 吧)))) ,他,304.78,吧,308.46
(S (PP (P 因为) (S (NP (PRP 我)) (VP (ADVP (AD 从来)) (VP (VV 没有) (VP (VP (VV 画) (AS 过)) (NP (NN 羊))))))) (S (NP (PRP 我)) (VP (ADVP (AD 就)) (VP (PP (P 给) (NP (PRP 他))) (VP (ADVP (AD 重)) (VP (VV 画) (NP (DNP (LCP (NP (S (S (NP (PRP 我)) (VP (MSP 所) (VP (ADVP (AD 仅仅)) (VP (VV 会) (VV 画))))) (DEC 的)) (NP (QP (CD 两) (CLP (M 幅))) (NP (NN 画)))) (LC 中)) (DEG 的)) (NP (DP (DT 那) (CLP (M 幅))) (NP (S (VP (VP (VV 闭) (AS 着)) (NP (NN 肚皮))) (DEC 的)) (NP (NN 巨蟒))))))))))) ,因为,309.23,巨蟒,316.19
(S (VP (ADVP (AD 不)) (VP (NP (NN 不))))) ,不,316.96,不,318.05
(S (S (NP (PRP 我)) (VP (VP (VV 听) (AS 了)) (NP (DNP (NP (PRP 他)) (DEG 的)) (NP (NN 话))))) (S (VP (ADVP (AD 简直)) (VV 目瞪口呆)))) ,我,318.9,目瞪口呆,321.03
(S (NP (PRP 我)) (VP (ADVP (AD 不)) (VP (VV 要) (NP (NN 蟒蛇))))) ,我,321.66,蟒蛇,322.71
(S (NP (NP (PRP 它)) (LCP (NP (NN 肚子)) (LC 里))) (VP (ADVP (AD 还)) (VP (VE 有) (NP (QP (CD 一) (CLP (M 头))) (NP (NN 象)))))) ,它,323.28,象,324.93
(S (NP (NP (NR 巨蟒)) (DP (DT 这)) (NP (NN 东西))) (VP (ADVP (AD 太)) (VP (VA 危险)))) ,巨蟒,325.56,危险,326.95
(S (NP (NN 大象)) (VP (ADVP (AD 又)) (ADVP (AD 太)) (VP (VV 占) (NP (NN 地方))))) ,大象,327.39,地方,328.81
(S (NP (S (S (NP (PRP 我)) (VP (VV 住))) (DEC 的)) (NP (NN 地方))) (VP (ADVP (AD 非常)) (VP (VA 小)))) ,我,329.39,小,330.8
(S (NP (PRP 我)) (VP (VV 需要) (NP (QP (CD 一) (CLP (M 只))) (NP (NN 羊))))) ,我,331.26,羊,332.19
(S (S (VP (PP (P 给) (NP (PRP 我))) (VP (VV 画) (NP (QP (CD 一) (CLP (M 只))) (NP (NN 羊)))))) (SP 吧)) ,给,332.81,吧,334.32
(S (S (NP (PRP 我)) (VP (ADVP (AD 就)) (VP (PP (P 给) (NP (PRP 他))) (VP (VV 画))))) (SP 了)) ,我,335.47,了,336.38
(S (S (NP (PRP 他)) (VP (ADVP (AD 专心) (DEV 地)) (VP (VV 看) (AS 着)))) (S (VP (ADVP (AD 随后)) (VP (ADVP (AD 又)) (VP (VV 说) (S (NP (PRP 我)) (VP (VV 不要)))))))) ,他,337.09,不要,340.44
