tree,word-index,word,number,last_word,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,first_word,first_onset,last_word,last_offset
(S (NP (PRP i)) (VP (VBP have) (VP (VBN lived) (NP (DT a) (NN lot)) (PP (IN amongst) (NP (DT the) (NNS grownups)))))), i-1), i,1,grownups,120.152,120.474,8.500758885,PRON,1,3,2,3, i,120.152, grownups,122.806
(S (NP (PRP i)) (VP (VBP have) (VP (VBN seen) (NP (PRP them)) (PP (IN from) (ADVP (RB close) (RB up)))))), i-1), i,1,up,123.19,123.264,8.500758885,PRON,1,3,2,3, i,123.19, up,124.67
(S (NP (PRP it)) (VP (VBZ has) (RB not) (ADVP (RB much)) (VP (VBN improved) (NP (NP (NP (PRP$ my)) (NP (NN opinion))) (PP (IN of) (NP (PRP them))))))), it-1), it,1,them,125.363,125.488,8.891153872,PRON,1,3,2,3, it,125.363, them,127.528
(S (SBAR (WHADVP (WRB whenever)) (S (NP (PRP i)) (VP (VBD met) (NP (NP (PRP one)) (PP (IN of) (NP (NP (PRP them)) (SBAR (WHNP (WDT that)) (S (VP (VBD seemed) (ADJP (ADVP (NP (DT a) (RB bit)) (RBR more)) (ADJP (JJ clear) (VBD sighted)))))))))))) (SBAR (NP (PRP i)) (VP (VBD tried) (NP (NP (DT the) (NN experiment)) (PP (IN of) (S (VP (VBG showing) (NP (PRP them)) (NP (NP (NP (PRP$ my)) (NP (NN drawing) (NN number) (NN one))) (SBAR (IN that) (S (NP (PRP i)) (VP (VBP have) (ADVP (RB always)) (VP (VBN kept))))))))))))), whenever-1), whenever,1,kept,128.361,129.116,3.751783828,ADV,1,4,2,3, whenever,128.361, kept,136.958
(S (S (NP (PRP i)) (VP (VBD wanted) (S (VP (TO to) (VP (VB know) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD were) (ADVP (RB really)) (NP (NP (DT a) (NN person)) (PP (IN of) (NP (JJ true) (NN understanding)))))))))))) (CC but) (S (NP (PRP they)) (ADVP (RB always)) (VP (VBD responded) (SBAR (S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (NN hat)))))))), i-1), i,1,hat,137.526,137.663,8.500758885,PRON,1,4,2,3, i,137.526, hat,144.087
(S (IN so) (NP (PRP i)) (VP (MD would) (ADVP (RB never)) (VP (VB speak) (PP (TO to) (NP (NP (UCP (NP (NP (PRP them)) (PP (IN of) (NP (NN boa) (NNS constrictors)))) (CC nor) (PP (IN of) (NP (JJ primeval) (NNS forests)))) (NNS nor)) (PP (IN of) (NP (DT the) (NNS stars)))))))), so-1), so,1,stars,145.045,145.22,7.514636259,ADV,1,2,1,2, so,145.045, stars,150.833
(S (NP (PRP i)) (VP (VBD put) (NP (PRP myself)) (PP (IN at) (NP (NP (PRP$ their)) (NP (NN level)))))), i-1), i,1,level,151.531,151.626,8.500758885,PRON,1,3,2,3, i,151.531, level,153.056
(S (NP (NP (PRP i)) (VP (VBN talked) (PP (TO to) (NP (PRP them))) (PP (IN about) (NP (NP (JJ bridge) (NN golf) (NNS politics) (CC and) (NNS neckties)) (CC and) (NP (DT the) (NN grownup)))))) (VP (VBD was) (ADJP (JJ glad) (S (VP (TO to) (VP (VB know) (NP (PDT such) (DT a) (JJ sensible) (NN man)))))))), i-1), i,1,man,153.44,153.835,8.500758885,PRON,1,4,2,3, i,153.44, man,161.889
(S (IN so) (NP (PRP i)) (VP (VBD lived) (ADVP (RB alone)) (PP (IN without) (NP (NP (NN anyone)) (SBAR (S (NP (PRP i)) (VP (MD could) (ADVP (RB really)) (VP (VB talk) (S (VP (TO to) (VP (PP (IN until) (NP (NP (DT a) (NN breakdown)) (PP (IN in) (NP (DT the) (NN sahara) (NN desert))))) (ADVP (NP (CD six) (NNS years)) (RB ago))))))))))))), so-1), so,1,ago,163.261,163.425,7.514636259,ADV,1,2,1,2, so,163.261, ago,170.017
(S (S (NP (NN something)) (VP (VBD had) (VP (VBN broken) (PP (IN in) (NP (NP (PRP$ my)) (NP (NN engine))))))) (CC and) (S (SBAR (IN as) (S (NP (PRP i)) (VP (VBD had) (PP (IN with) (NP (PRP me)))))) (NP (CC neither) (NP (DT a) (NN mechanic)) (CC nor) (NP (DT any) (FW passengers) (PRP i))) (VP (VBD readied) (NP (PRP myself)) (S (VP (TO to) (VP (VP (VB try)) (CC and) (VP (VB carry) (PRT (RP out)) (ADVP (RB all) (NP (RB alone) (DT the) (JJ difficult) (NNS repairs)))))))))), something-1), something,1,repairs,170.856,171.231,5.644421637,PRON,1,4,2,3, something,170.856, repairs,181.221
(S (PP (IN for) (NP (PRP me))) (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (NN matter)) (PP (IN of) (NP (NN life) (CC or) (NN death)))))), for-1), for,1,death,182.039,182.124,9.022419166,ADP,1,3,1,2, for,182.039, death,184.092
(S (NP (PRP i)) (VP (VBD had) (NP (ADJP (RB hardly) (JJ enough)) (NN water)) (S (VP (TO to) (VP (VB drink) (PP (IN for) (NP (DT a) (NN week)))))))), i-1), i,1,week,184.611,184.656,8.500758885,PRON,1,3,2,3, i,184.611, week,187
(S (NP-TMP (DT the) (JJ first) (NN night)) (NP (PRP i)) (VP (VBD went) (S (VP (TO to) (VP (VB sleep) (PP (IN on) (NP (DT the) (NN sand))) (PP (NP (QP (DT a) (CD thousand)) (NNS miles)) (IN from) (NP (DT any) (JJ human) (NN habitation)))))))), the-1), the,1,habitation,188.148,188.243,11.11580048,DET,1,3,1,2, the,188.148, habitation,193.171
(S (NP (PRP i)) (VP (VBD was) (ADJP (RBR more) (JJ isolated) (PP (IN than) (NP (DT a) (JJ shipwrecked) (NN sailor)))) (PP (IN on) (NP (NP (DT a) (NN raft)) (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN ocean))))))))), i-1), i,1,ocean,193.62,194.015,8.500758885,PRON,1,3,2,3, i,193.62, ocean,198.164
(S (IN so) (NP (PRP you)) (VP (MD can) (VP (VB imagine) (NP (NP (PRP$ my)) (NP (NN surprise))) (SBAR (WHADVP (WRB when)) (S (PP (IN at) (NP (NN daybreak))) (NP (DT a) (JJ funny) (JJ little) (NN voice)) (VP (VBD woke) (NP (PRP me)) (PRT (RP up)))))))), so-1), so,1,up,198.772,198.917,7.514636259,SCONJ,1,2,1,2, so,198.772, up,203.985
(S (NP (PRP it)) (VP (VBD said) (VP (VB please) (S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep)))))))), it-1), it,1,sheep,204.758,204.933,8.891153872,PRON,1,3,2,3, it,204.758, sheep,208.065
(FRAG (WHNP (WP what))), what-1), what,1,what,208.623,209.028,7.344589847,PRON,1,3,3,4, what,208.623, what,209.028
(S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))), draw-1), draw,1,sheep,209.901,210.056,4.063885355,VERB,1,3,1,2, draw,209.901, sheep,210.981
(S (NP (PRP i)) (VP (VBD jumped) (PP (TO to) (NP (NP (PRP$ my)) (NP (NNS feet)))) (SBAR (RB as) (IN if) (S (NP (PRP i)) (VP (VBD had) (VP (VBN been) (VP (VBN struck) (PP (IN by) (NP (NN lightning)))))))))), i-1), i,1,lightning,212.008,212.123,8.500758885,PRON,1,3,2,3, i,212.008, lightning,214.702
(S (NP (PRP i)) (VP (VBD rubbed) (NP (NP (PRP$ my)) (NP (NNS eyes))))), i-1), i,1,eyes,215.037,215.122,8.500758885,PRON,1,3,2,3, i,215.037, eyes,216.081
(S (S (NP (PRP i)) (VP (VBD took) (NP (DT a) (JJ good) (NN look)) (PP (IN around) (NP (PRP me))))) (CC and) (S (NP (PRP i)) (VP (VBD saw) (NP (NP (DT a) (ADJP (RB quite) (JJ extraordinary)) (JJ little) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG examining) (NP (PRP me)) (ADVP (RB seriously)))))))))), i-1), i,1,seriously,216.66,216.725,8.500758885,PRON,1,4,2,3, i,216.66, seriously,223.907
(S (NP (RB here)) (VP (VBZ is) (NP (NP (DT the) (JJS best) (NN portrait)) (SBAR (IN that) (S (S (ADVP (RB later)) (NP (PRP i)) (VP (VBD managed) (S (VP (TO to) (VP (VB do) (PP (IN of) (NP (PRP him)))))))) (CC but) (S (NP (NP (NP (PRP$ my)) (NP (NN drawing))) (PP (IN of) (NP (NN course)))) (VP (VBZ is) (ADJP (ADJP (RB much) (RBR less) (JJ charming)) (PP (IN than) (NP (NP (PRP$ its)) (NP (NN model)))))))))))), here-1), here,1,model,224.735,224.9,6.305070182,ADV,1,3,2,3, here,224.735, model,232.081
(S (NP (PRP it)) (VP (VBZ is) (RB not) (NP (NP (PRP$ my)) (NP (NN fault))))), it-1), it,1,fault,232.549,232.634,8.891153872,PRON,1,3,2,3, it,232.549, fault,233.399
(S (S (NP (PRP i)) (VP (VBD was) (VP (VBN discouraged) (PP (IN in) (NP (NP (NP (PRP$ my)) (NP (NN career))) (PP (IN as) (NP (DT a) (NN painter))))) (PP (IN by) (NP (DT the) (NNS grownups))) (PP (IN at) (NP (NP (DT the) (NN age)) (PP (IN of) (NP (CD six)))))))) (CC and) (S (NP (PRP i)) (VP (VBD had) (RB not) (VP (VBN learned) (S (VP (TO to) (VP (VB draw) (NP (NN anything)) (PP (IN except) (NP (NP (NN boa) (NNS constrictors)) (ADJP (JJ closed) (CC and) (JJ open))))))))))), i-1), i,1,open,233.803,233.888,8.500758885,PRON,1,4,2,3, i,233.803, open,242.214
(S (NP (PRP i)) (VP (VBD stared) (PP (IN at) (NP (NP (DT this) (JJ sudden) (NN apparition)) (ADJP (RB wide) (JJ eyed)))) (PP (IN with) (NP (NN astonishment))))), i-1), i,1,astonishment,243.227,243.602,8.500758885,PRON,1,3,2,3, i,243.227, astonishment,247.125
(S (SBAR (VP (VB remember) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD was) (NP (NP (DT a) (CD thousand) (NNS miles)) (PP (IN from) (NP (DT any) (NP (JJ inhabited) (NN region)))))))))) (CC and) (S (ADVP (RB yet)) (S (NP (DT this) (NP (JJ little) (NN fellow))) (VP (VBD seemed) (ADVP (RB neither)) (ADJP (ADJP (VBD lost)) (CC nor) (ADJP (ADJP (RB half) (JJ dead)) (PP (IN with) (NP (NN fatigue)))) (CC nor) (ADJP (ADJP (JJ starved)) (CC or) (ADJP (VBG dying) (PP (IN of) (NP (NN thirst) (CC or) (NN fear)))))))))), remember-1), remember,1,fear,247.34,248.065,4.620058798,VERB,1,4,1,2, remember,247.34, fear,258.43
(S (NP (PRP he)) (VP (VBD looked) (NP (NN nothing)) (PP (IN like) (NP (NP (DT a) (NN child)) (VP (VBN lost) (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN desert))))) (NP-TMP (DT a) (CD thousand) (NNS miles)) (PP (IN from) (NP (DT any) (JJ inhabited) (NN region)))))))), he-1), he,1,region,259.448,259.583,8.557202055,PRON,1,3,2,3, he,259.448, region,265.456
(S (SBAR (WHADVP (WRB when)) (S (NP (PRP i)) (ADVP (RB finally)) (VP (VBD managed) (S (VP (TO to) (VP (VB speak) (NP (PRP i)))))))) (VP (VBD said) (SBAR (WHNP (WP what)) (S (VP (VBP are) (NP (NP (PRP you)) (VP (VBG doing) (ADVP (RB here))))))))), when-1), when,1,here,266.399,266.524,7.562213605,ADV,1,4,2,3, when,266.399, here,270.616
(S (CC and) (NP (PRP he)) (VP (VBD repeated) (ADVP (RB very) (RB slowly)) (SBAR (RB as) (IN if) (S (S (NP (PRP it)) (VP (VBD was) (NP (NP (NN something)) (ADJP (RB very) (JJ serious))))) (S (FRAG (VB please)) (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))))))), and-1), and,1,sheep,271.279,271.414,10.26304833,CCONJ,1,2,1,2, and,271.279, sheep,279.089
(S (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NN mystery)) (VP (VBZ is) (ADJP (RB too) (JJ overpowering))))) (NP (PRP one)) (VP (MD dare) (RB not) (VP (VB disobey)))), when-1), when,1,disobey,280.615,280.76,7.562213605,ADV,1,4,2,3, when,280.615, disobey,284.14
(S (S (ADJP (JJ absurd) (SBAR (IN as) (S (NP (PRP it)) (VP (VBD seemed) (PP (TO to) (NP (PRP me))) (NP (NP (QP (DT a) (CD thousand)) (NNS miles)) (PP (PP (IN from) (NP (DT any) (JJ human) (NN habitation))) (CC and) (PP (IN in) (NP (NP (NN danger)) (PP (IN of) (NP (NN death)))))))))))) (NP (PRP i)) (VP (VBD took) (PRT (RP out)) (NP (PP (IN of) (NP (NP (PRP$ my)) (NP (NN pocket)))) (NP (NP (DT a) (NN sheet)) (PP (IN of) (NP (NP (NN paper)) (CC and) (NP (DT a) (NN pen)))))))), absurd-1), absurd,1,pen,284.813,285.358,2.60380018,ADJ,1,4,1,2, absurd,284.813, pen,293.804
(S (CC but) (S (ADVP (RB then)) (S (NP (PRP i)) (VP (VBD remembered) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD had) (ADVP (RB mainly)) (VP (VBN studied) (NP (NN geography) (NN history) (NN arithmetic) (CC and) (NN grammar))))))))) (CC and) (S (NP (PRP i)) (VP (VP (VP (VBD told) (NP (DT the) (NP (JJ little) (NN fellow)))) (ADVP (NP (DT a) (RB little)) (RB crossly))) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD did) (RB not) (VP (VB know) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB draw)))))))))))), but-1), but,1,draw,294.408,294.773,8.17055344,CCONJ,1,2,1,2, but,294.408, draw,304.697
(S (NP (PRP he)) (VP (VBD replied) (SBAR (S (NP (PRP it)) (VP (VBZ does) (RB not) (VP (VB matter))))))), he-1), he,1,matter,305.48,305.575,8.557202055,PRON,1,3,2,3, he,305.48, matter,307.509
(S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))), draw-1), draw,1,sheep,307.967,308.113,4.063885355,VERB,1,3,1,2, draw,307.967, sheep,308.977
(S (PP (IN as) (NP (PRP i))) (VP (VBD had) (ADVP (RB never)) (VP (VBN drawn) (NP (NP (DT a) (NN sheep) (NN i) (NN redrew)) (PP (IN for) (NP (PRP him)))))) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJ only) (CD two) (NNS drawings))) (SBAR (IN that) (S (NP (PRP i)) (VP (VBD was) (ADJP (JJ capable) (PP (IN of)))))))), as-1), as,1,of,310.095,310.26,8.884250056,SCONJ,1,3,1,2, as,310.095, of,315.538
(NP (NP (DT the) (NN one)) (PP (IN of) (NP (DT the) (VBN closed) (NN boa) (NN constrictor)))), the-1), the,1,constrictor,316.011,316.076,11.11580048,DET,1,3,1,2, the,316.011, constrictor,318.131
(S (CC and) (NP (PRP i)) (VP (VBD was) (ADJP (JJ astounded) (S (VP (TO to) (VP (VB hear) (S (NP (DT the) (JJ little) (NN fellow)) (VP (VB respond) (ADVP (DT no) (RB no) (SBAR (S (NP (PRP i)) (VP (VBP do) (RB not) (VP (VB want) (NP (NP (DT an) (NN elephant)) (PP (IN inside) (NP (DT a) (NN boa) (NN constrictor))))))))))))))))), and-1), and,1,constrictor,318.649,318.794,10.26304833,CCONJ,1,2,1,2, and,318.649, constrictor,326.565
(S (S (NP (DT a) (NN boa) (NN constrictor)) (VP (VBZ is) (ADJP (RB very) (JJ dangerous)))) (CC and) (S (NP (DT an) (NN elephant)) (VP (VBZ is) (ADJP (RB very) (JJ cumbersome))))), a-1), a,1,cumbersome,326.939,327.004,9.872203262,DET,1,4,1,2, a,326.939, cumbersome,331.712
(S (SBAR (WHADVP (WRB where)) (S (NP (PRP i)) (VP (VBP live) (NP (NN everything))))) (VP (VBZ is) (ADJP (RB very) (JJ small)))), where-1), where,1,small,332.126,332.291,6.745648029,ADV,1,4,2,3, where,332.126, small,334.326
(S (NP (PRP i)) (VP (VBP need) (NP (DT a) (NN sheep)))), i-1), i,1,sheep,334.675,334.75,8.500758885,PRON,1,3,2,3, i,334.675, sheep,335.825
(S (VP (VB draw) (S (NP (PRP me)) (NP (DT a) (NN sheep))))), draw-1), draw,1,sheep,336.104,336.259,4.063885355,VERB,1,3,1,2, draw,336.104, sheep,337.069
(S (IN so) (NP (PRP i)) (VP (VBD drew))), so-1), so,1,drew,337.927,338.102,7.514636259,CCONJ,1,2,1,2, so,337.927, drew,338.596
(S (NP (PRP he)) (VP (VBD looked) (ADVP (RB carefully)) (SBAR (S (NP (RB then)) (VP (VBD said) (SBAR (S (NP (RB no) (DT this) (NN one)) (VP (VBZ is) (ADVP (RB already)) (ADJP (RB very) (JJ sick)))))))))), he-1), he,1,sick,339.584,339.729,8.557202055,PRON,1,3,2,3, he,339.584, sick,344.112
(S (VP (VB make) (NP (DT another) (NN one)))), make-1), make,1,one,344.436,344.663,6.456125806,VERB,1,3,1,2, make,344.436, one,345.326
(S (NP (PRP i)) (VP (VBD drew) (ADVP (RB again)))), i-1), i,1,again,346.069,346.212,8.500758885,PRON,1,3,2,3, i,346.069, again,346.899
(S (S (NP (NP (PRP$ my)) (NP (NN friend))) (VP (VBD smiled) (ADVP (RB gently)))) (CC and) (S (ADVP (RB indulgently)) (NP (PRP you)) (VP (MD can) (VP (VB see) (NP (PRP yourself)))))), my-1), my,1,yourself,347.627,347.782,7.222784973,DET,1,5,2,3, my,347.627, yourself,352.275
(S (NP (DT this)) (VP (VBZ is) (RB not) (NP (DT a) (NN sheep)))), this-1), this,1,sheep,352.275,352.525,8.485516749,DET,1,3,2,3, this,352.275, sheep,353.395
(S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (NN ram)))), it-1), it,1,ram,353.395,353.535,8.891153872,PRON,1,3,2,3, it,353.395, ram,354.345
(S (NP (PRP it)) (VP (VBZ has) (NP (NNS horns)))), it-1), it,1,horns,354.679,354.784,8.891153872,PRON,1,3,2,3, it,354.679, horns,355.949
(S (IN so) (ADVP (RB once) (RB again)) (NP (PRP i)) (VP (VBD redid) (NP (NP (PRP$ my)) (NP (NN drawing))))), so-1), so,1,drawing,356.911,357.136,7.514636259,ADV,1,2,1,2, so,356.911, drawing,359.081
(S (CC but) (NP (PRP it)) (VP (VBD was) (VP (VBN rejected) (PP (IN like) (NP (DT the) (JJ previous) (NNS ones)))))), but-1), but,1,ones,359.37,359.505,8.17055344,CCONJ,1,2,1,2, but,359.37, ones,361.869
(S (NP (DT this) (NN one)) (VP (VBZ is) (ADJP (RB too) (JJ old)))), this-1), this,1,old,362.562,362.907,8.485516749,DET,1,3,1,2, this,362.562, old,364.537
(S (NP (PRP i)) (VP (VBP want) (NP (NP (DT a) (NN sheep)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB live) (NP (DT a) (JJ long) (NN time))))))))), i-1), i,1,time,364.537,364.627,8.500758885,PRON,1,3,2,3, i,364.537, time,367.036
